module,version,page_id,page_number,route,source_member,raw_tiff_reference,source_image_sha256,lineage_ready,contract_ready_targets,route_separation_status,route_separation_reasons,semantic_chunk_audit_status,semantic_chunk_audit_reasons,qdrant_payload_ready,opensearch_payload_ready,ocr_char_count,part_number_count,table_term_count,plain_term_count,image_term_count,blank_payload_violation,blocked_payload_violation,missing_lineage_payload_violation,route_payload_mismatch,audit_violations,retrieval_payload_audit_status,answer_permission,can_answer_directly,can_prove_claims,source_truth_mutation_allowed,postgres_write_attempt,qdrant_write_attempt,opensearch_write_attempt,write_attempted,dry_run_only
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000001,1,plain_text,00000001.tif,00000001.tif,09bfd29f1d493133d8c9b3760581d78d133c5f93a7a908027bee51f896a0bc0b,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,508,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000002,2,blank,00000002.tif,00000002.tif,3a666c702a56abe19cf7f54e6ad28c99db84c7483cfa11d3f6b79c5c01097cf8,True,"[""postgres_graph""]",PASS,"[""blank_not_loaded_to_retrieval""]",NOT_APPLICABLE,"[""no_semantic_chunk_expected_for_record""]",False,False,0,0,0,0,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000003,3,table,00000003.tif,00000003.tif,51d3021686c6905d48a8eceb5c9686eacf539855df3824ff79ac6039641e87e1,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",PASS,"[""table_route_has_exact_index_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,58,1,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000004,4,plain_text,00000004.tif,00000004.tif,6bd3dad9e70045c0343b5f88fe8e90686824bea32beb045299533ef3490f6a36,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,923,0,2,6,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000005,5,table,00000005.tif,00000005.tif,8980a6e91d7cc2f40a8510315d8610595243d7033621c00bdaec782a41aa1e7b,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",WARNING,"[""table_route_has_weak_table_ocr_signals""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000006,6,table,00000006.tif,00000006.tif,89d209a21f5b7f948a73c3eb06600be189ff10b01b5e7194e14a8cd1621db284,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",WARNING,"[""table_route_has_weak_table_ocr_signals""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000007,7,table,00000007.tif,00000007.tif,ed1f012f548803ab609c005b0e680acd92d6e1d47c3c16d2a9a662f541301651,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",WARNING,"[""table_route_has_weak_table_ocr_signals""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000008,8,table,00000008.tif,00000008.tif,7d6f154827ecc56956a2081437b142214acfa55ed525b8dae3a4b989fd42c741,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",WARNING,"[""table_route_has_weak_table_ocr_signals""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000009,9,table,00000009.tif,00000009.tif,ad352d3c2ae487d629c26d00ec1ab79cdd10d77d689403213eba17499ea76573,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",WARNING,"[""table_route_has_weak_table_ocr_signals""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000010,10,table,00000010.tif,00000010.tif,dfa8786b909afd08c36c93a2714d582acee43290689d6277ff49a7d24f7fd955,True,"[""postgres_graph"", ""qdrant"", ""opensearch""]",WARNING,"[""table_route_has_weak_table_ocr_signals""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,True,1000,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000011,11,plain_text,00000011.tif,00000011.tif,1a2d52743fb6234d668bf2742ee19ce9eb1d68f49b1c04051bbce81322146063,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,998,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000012,12,blank,00000012.tif,00000012.tif,a8510eb01519500772c19cb1cbafb973f50bfc01627fd016ec7e14743e44c1f0,True,"[""postgres_graph""]",PASS,"[""blank_not_loaded_to_retrieval""]",NOT_APPLICABLE,"[""no_semantic_chunk_expected_for_record""]",False,False,0,0,0,0,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000013,13,plain_text,00000013.tif,00000013.tif,98ab693f2742d50f9aa84ae324eec13a89d8101b8880a117acb28f825ebe81b8,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,419,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000014,14,plain_text,00000014.tif,00000014.tif,77ae5e20f592a235de49f539402d8120f20e256289dd48969e91821b41a9a0f0,True,"[""postgres_graph""]",WARNING,"[""plain_text_not_semantic_index_ready""]",NOT_APPLICABLE,"[""no_semantic_chunk_expected_for_record""]",False,False,600,0,0,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000015,15,plain_text,00000015.tif,00000015.tif,6a594b17e190e9fc06f28e36618ae7eca7c0b67b5b9f4f3326f4463e3d0f57ea,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,1000,0,7,4,2,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000016,16,plain_text,00000016.tif,00000016.tif,39a6709102ab643ff1e913c57ef86c92c29e7233bb83c8ddbb6b2eab8ea7cbc7,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,999,0,1,3,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000017,17,image,00000017.tif,00000017.tif,e5a84463d44c9415bcd51b8c6ef7fe3f64c8d458254955f2b1e2b22fb3ddb80d,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""image_semantic_observation_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,323,0,3,1,1,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000018,18,image,00000018.tif,00000018.tif,aeb66b86579e3652c6080682649121b8c86dc681d79bcbd04a07f30c5ce40fbe,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""image_semantic_observation_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,267,0,3,1,1,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000019,19,image,00000019.tif,00000019.tif,36b821fe9a02e292ea3cf0e1767fd344f7fd6c090a2462af878a29917b0b5d78,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""image_semantic_observation_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,416,0,3,1,1,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000020,20,plain_text,00000020.tif,00000020.tif,dd3d0eab95213423e9df2fe6848e031d954cccf16feae0c4f1df6c9c575e5792,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,1000,0,4,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000021,21,plain_text,00000021.tif,00000021.tif,6e8e20ab11f2a5010e591c2a3c9aa8b66715e5c0bf308abc17f7021b1ce6a8f2,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,999,0,14,1,5,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000022,22,plain_text,00000022.tif,00000022.tif,c7c9d50ca89da42c9ae427b012cd99bc23c29411ba318ece09e22fb6f1c13151,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,1000,0,16,4,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000023,23,plain_text,00000023.tif,00000023.tif,357a5e9f20f6f5325780899202c379b8986cd2995c3286945228ca93dd3d8fe6,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,1000,0,6,6,2,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
trace_net_retrieval_payload_audit_v1,v1,t_p_120_1176_p000024,24,plain_text,00000024.tif,00000024.tif,d5010a6ac1c5f07e33825b8a89f705248f875bd1a8064e305fd1f6bfa5d74ea6,True,"[""postgres_graph"", ""qdrant""]",PASS,"[""plain_text_semantic_only_contract""]",PASS,"[""semantic_payload_lineage_and_route_gate_pass""]",True,False,824,0,1,1,0,False,False,False,False,[],PASS,False,False,False,False,False,False,False,False,True
