record_id,page_id,page_number,source_member,route_label,summary_field,manual_section_hint,detected_figures,detected_part_numbers,detected_topics,source_trace_ready,guidance_only,source_artifact,object_path,summary_text
v2_summary_guidance__c42fdd1a20f2e022,t_p_120_1176_p000001,1,,unknown,summary,unknown,,,maintenance manual,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[0],"This page appears to be a revision notice and title block for a technical manual, superseding an earlier version."
v2_summary_guidance__3293ef58fc5bc775,t_p_120_1176_p000002,2,,unknown,summary,unknown,,,,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[1],Page 2 from T.P. 120/1176 in ATA 25-21-00 has empty OCR text.
v2_summary_guidance__ae3ef3d8115387ac,t_p_120_1176_p000003,3,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[2],"This page appears to be a parts list or applicability section from a maintenance manual, listing numerous part numbers and referencing the document's scope."
v2_summary_guidance__a484e7de85f9f659,t_p_120_1176_p000004,4,,unknown,summary,maintenance_manual,,,maintenance manual,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[3],"This page introduces the maintenance manual, outlining its purpose and scope related to passenger cabin disassembly."
v2_summary_guidance__19cabfdf052f8dde,t_p_120_1176_p000005,5,,unknown,summary,maintenance_manual,,,illustrated parts list;maintenance manual,True,True,local_data\organization\trace_net\e2e_dynamic_plan_executor\trace_net_e2e_dynamic_plan_executor_v18.json,executions[3].summary_guidance[0],"This page appears to be a parts list and index from a maintenance manual, listing various part numbers and revision dates."
v2_summary_guidance__40500e3e3dcfc913,t_p_120_1176_p000012,12,,unknown,summary,unknown,,,,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[4],Page 12 from T.P. 120/1176 in ATA 25-21-00 has empty OCR text.
v2_summary_guidance__9e4c857148762f90,t_p_120_1176_p000015,15,,unknown,summary,table,,,armrest;table,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[5],"This page describes passenger seats, including armrests and snack folding tables, detailing their construction and design."
v2_summary_guidance__b578c5ddc44e1452,t_p_120_1176_p000016,16,,unknown,summary,maintenance_manual,,,maintenance manual;structure,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[6],"This page from the maintenance manual describes the construction of a seat backrest and bottom cushion, including materials like composite structures, foam cushions, upholstery, and Velcro fasteners."
v2_summary_guidance__e7d492f072667d6f,t_p_120_1176_p000017,17,,unknown,summary,illustrated_parts_list,,,figure;illustrated parts list,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[7],"This page is a parts list and figure illustrating the passenger seat, referencing part number 120TP250001.MCI."
v2_summary_guidance__526ccd387930cb9c,t_p_120_1176_p000018,18,,unknown,summary,illustrated_parts_list,2,,double passenger seat;figure;illustrated parts list,True,True,local_data\organization\trace_net\context_retrieval_helpers\trace_net_context_retrieval_helpers_v1.json,records[8],"This page is a parts list illustration for a double passenger seat, referencing part number 120TP250002.MCE and figure 2."
