page_number,page_id,source_operational_route,route_subtype,validated_operational_route,validation_decision,validation_status,validation_score,validator_contracts_executed,passed_validator_contracts,failed_validator_contracts,secondary_operational_routes,route_confidence_band,route_confidence_score,source_validator_required,source_multi_route_required,final_do_not_embed,qdrant_embedding_allowed,opensearch_index_allowed,ocr_text_word_count,part_number_count,validation_reasons,source_member,source_image_path,ocr_text_path
11,t_p_120_1176_p000011,table,table_or_index,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],high,90.0,False,False,True,False,False,264,0,[],00000011.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000011.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000011.txt
13,t_p_120_1176_p000013,table,table_or_index,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],medium,82.0,True,False,True,False,False,84,0,[],00000013.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000013.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000013.txt
14,t_p_120_1176_p000014,plain_text,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""plain_text_ocr_context_validator""]",[],"[""plain_text_ocr_context_validator""]",[],low,0.0,True,True,True,False,False,75,0,[],00000014.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000014.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000014.txt
20,t_p_120_1176_p000020,table,table_or_index,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator"", ""plain_text_ocr_context_validator""]",[],"[""table_structure_and_part_evidence_validator"", ""plain_text_ocr_context_validator""]","[""plain_text""]",high,90.0,False,True,True,False,False,273,0,[],00000020.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000020.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000020.txt
26,t_p_120_1176_p000026,plain_text,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""plain_text_ocr_context_validator""]",[],"[""plain_text_ocr_context_validator""]",[],low,0.0,True,True,True,False,False,20,0,[],00000026.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000026.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000026.txt
80,t_p_120_1176_p000080,plain_text,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""plain_text_ocr_context_validator""]",[],"[""plain_text_ocr_context_validator""]",[],low,0.0,True,True,True,False,False,21,0,[],00000080.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000080.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000080.txt
81,t_p_120_1176_p000081,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,75,1,[],00000081.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000081.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000081.txt
84,t_p_120_1176_p000084,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,77,1,[],00000084.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000084.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000084.txt
90,t_p_120_1176_p000090,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,82,1,[],00000090.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000090.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000090.txt
94,t_p_120_1176_p000094,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,72,1,[],00000094.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000094.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000094.txt
97,t_p_120_1176_p000097,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,88,1,[],00000097.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000097.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000097.txt
104,t_p_120_1176_p000104,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,67,1,[],00000104.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000104.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000104.txt
107,t_p_120_1176_p000107,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,68,1,[],00000107.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000107.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000107.txt
110,t_p_120_1176_p000110,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,75,1,[],00000110.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000110.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000110.txt
114,t_p_120_1176_p000114,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,80,1,[],00000114.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000114.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000114.txt
120,t_p_120_1176_p000120,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,76,1,[],00000120.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000120.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000120.txt
124,t_p_120_1176_p000124,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,84,1,[],00000124.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000124.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000124.txt
127,t_p_120_1176_p000127,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,101,1,[],00000127.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000127.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000127.txt
130,t_p_120_1176_p000130,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,69,1,[],00000130.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000130.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000130.txt
133,t_p_120_1176_p000133,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,66,1,[],00000133.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000133.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000133.txt
136,t_p_120_1176_p000136,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,71,1,[],00000136.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000136.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000136.txt
139,t_p_120_1176_p000139,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,83,1,[],00000139.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000139.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000139.txt
141,t_p_120_1176_p000141,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,78,1,[],00000141.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000141.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000141.txt
142,t_p_120_1176_p000142,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,67,1,[],00000142.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000142.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000142.txt
145,t_p_120_1176_p000145,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,67,1,[],00000145.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000145.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000145.txt
148,t_p_120_1176_p000148,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,70,1,[],00000148.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000148.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000148.txt
151,t_p_120_1176_p000151,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,68,1,[],00000151.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000151.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000151.txt
154,t_p_120_1176_p000154,table,review_required,,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,0.0,"[""table_structure_and_part_evidence_validator""]",[],"[""table_structure_and_part_evidence_validator""]",[],low,0.0,True,True,True,False,False,75,1,[],00000154.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000154.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_strict_8192\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000154.txt
