citation_label,composer_role,source_anchor_aware_role,proof_strength,anchor_relation_type,page_number,page_id,source_member,part_numbers,sentence_use
E1,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,343,t_p_120_1176_p000343,00000343.tif,"[""120-29067-001"", ""120-29073-001"", ""120-34291-001""]",direct proof sentence
E2,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,346,t_p_120_1176_p000346,00000346.tif,"[""120-29067-019"", ""120-29067-029"", ""120-29073-001"", ""120-29073-005"", ""120-48023-001"", ""120-61546-001""]",direct proof sentence
E3,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,349,t_p_120_1176_p000349,00000349.tif,"[""120-29067-003"", ""120-29067-021"", ""120-29067-031"", ""120-29073-001"", ""120-29073-005"", ""120-48023-001"", ""120-61546-001""]",direct proof sentence
E4,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,352,t_p_120_1176_p000352,00000352.tif,"[""120-29067-005"", ""120-29073-001"", ""120-29067-011""]",direct proof sentence
E5,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,355,t_p_120_1176_p000355,00000355.tif,"[""120-29067-023"", ""120-29067-033"", ""120-29073-001"", ""120-29073-005""]",direct proof sentence
E6,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,358,t_p_120_1176_p000358,00000358.tif,"[""120-29067-015"", ""120-29067-025"", ""120-29067-035"", ""120-29073-001"", ""120-29073-005"", ""120-48023-001"", ""120-61546-001""]",direct proof sentence
E7,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,361,t_p_120_1176_p000361,00000361.tif,"[""120-29067-017"", ""120-29067-027"", ""120-29067-037"", ""120-29073-001"", ""120-29073-005"", ""120-29073-007"", ""120-48023-001"", ""120-61546-001""]",direct proof sentence
E8,direct_exact_answer_evidence,direct_exact_match_anchor,direct_exact_proof,exact_anchor,364,t_p_120_1176_p000364,00000364.tif,"[""120-29067-007"", ""120-29073-001"", ""120-29067-011""]",direct proof sentence
E25,related_variant_answer_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,00000346.tif,"[""120-29073-005""]",variant sentence
E26,related_variant_answer_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,00000346.tif,"[""120-29073-005""]",variant sentence
E27,related_variant_answer_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,00000346.tif,"[""120-29073-005""]",variant sentence
E28,related_variant_answer_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,00000346.tif,"[""120-29073-005""]",variant sentence
E17,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-005""]",variant sentence
E18,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-007""]",variant sentence
E19,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-005""]",variant sentence
E20,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-007""]",variant sentence
E21,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-005""]",variant sentence
E22,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-007""]",variant sentence
E23,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-005""]",variant sentence
E24,related_variant_answer_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,00000032.tif,"[""120-29073-007""]",variant sentence
E31,weak_graph_context_evidence,same_anchor_leiden_community_neighbor,weak_candidate,same_anchor_leiden_community,55,t_p_120_1176_p000055,00000055.tif,"[""120-48023-001"", ""120-48024-001"", ""120-49362-001"", ""120-50674-001""]",weak related context sentence
E29,retained_low_priority_support,superseded_direct_candidate,direct_candidate,superseded_by_exact_anchors,5,t_p_120_1176_p000005,00000005.tif,[],not used in main answer
E30,retained_low_priority_support,similar_table_candidate,weak_candidate,retained_support_context,45,t_p_120_1176_p000045,00000045.tif,"[""120-40636-001"", ""120-40796-001"", ""120-40636-003"", ""120-40795-001"", ""120-40796-003""]",not used in main answer
E32,retained_low_priority_support,similar_table_candidate,weak_candidate,retained_support_context,65,t_p_120_1176_p000065,00000065.tif,[],not used in main answer
E33,retained_low_priority_support,similar_table_candidate,weak_candidate,retained_support_context,75,t_p_120_1176_p000075,00000075.tif,[],not used in main answer
E34,retained_low_priority_support,similar_table_candidate,weak_candidate,retained_support_context,85,t_p_120_1176_p000085,00000085.tif,"[""120-41824-003"", ""120-41824-503"", ""120-42660-001"", ""120-29067-021"", ""120-29067-031"", ""120-33774-001"", ""120-42221-001""]",not used in main answer
