question_id,grade,category,question,runner_passed,quality_status,task_type,intent_answer_used,intent_answer_type,proof_context_count,source_trace_ready_citation_count,unsupported_claim_count,summary_used_as_proof_count,failure_reason,recommendation,answer_preview
q01,GOOD,figure_lookup,What does figure 69 show?,True,PASS,visual_part_identification,False,,3,3,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer."
q02,GOOD,figure_lookup,What does figure 75 show?,True,PASS,visual_part_identification,False,,3,3,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 328.
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer."
q03,GOOD,figure_lookup,What does figure 91 show?,True,PASS,visual_part_identification,False,,3,3,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Figure 91 is linked to part number 120-29068-003, ""STRUCTURE ASSY 00"" [V8] [O3].

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature gives ""STRUCTURE ASSY 00"" on page 384.
  OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer."
q04,GOOD,comparison,Compare figure 69 and figure 75.,True,PASS,comparison_question,True,comparison,6,4,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Figures 69 and 75 are both source-trace-linked visual/parts evidence, but they point to different part-number records unless the source explicitly says otherwise.

Comparison:
- Figure 69: part number 120-50645-005, nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- Figure 75: part number 120-50645-011, nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF

Engineering confidence:
HIGH for figure-to-part and nomenclature comparisons when each figure has source-trace-ready visual and OCR/table support.

Limits:
- A comparison of figure-linked evidence does not prove interchangeability, effectivity, fit, replacement"
q05,PARTIAL,comparison,Compare figure 75 and figure 91.,True,PASS,comparison_question,True,comparison,6,4,0,0,,Improve comparison scoring/formatting for cross-figure comparisons and ensure both entities are fully addressed.,"Answer:
Figures 75 and 91 are both source-trace-linked visual/parts evidence, but they point to different part-number records unless the source explicitly says otherwise.

Comparison:
- Figure 75: part number 120-50645-011, nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- Figure 91: part number 120-29068-003, nomenclature ""STRUCTURE ASSY 00"" [V8] [O3].
  OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF

Engineering confidence:
HIGH for figure-to-part and nomenclature comparisons when each figure has source-trace-ready visual and OCR/table support.

Limits:
- A comparison of figure-linked evidence does not prove interchangeability, effectivity, fit, replacement approval, "
q06,GOOD,exact_part_lookup,Find part number 120-50645-005 and cite the source.,True,PASS,exact_part_lookup,False,,4,4,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Part number 120-50645-005 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [T1] [V6].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-005 in field covered_part_number: 120-50645-005.
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit,"
q07,GOOD,exact_part_lookup,Find part number 120-50645-011 and cite the source.,True,PASS,exact_part_lookup,False,,4,4,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Part number 120-50645-011 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O2] [T1] [V7].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-011 in field covered_part_number: 120-50645-011.
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 328.
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit,"
q08,GOOD,exact_part_lookup,Find part number 120-29068-003 and cite the source.,True,PASS,exact_part_lookup,False,,4,4,0,0,,No immediate action; keep this case as a regression guard.,"Answer:
Part number 120-29068-003 is present in source-trace-ready evidence and is associated with ""STRUCTURE ASSY 00"" [E1] [O3] [T1] [V8].

Evidence:
- [E1] Exact-part evidence contains part number 120-29068-003 in field ipl_part_number: 120-29068-003.
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature gives ""STRUCTURE ASSY 00"" on page 384.
  OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, o"
q09,PARTIAL,evidence_support,What evidence supports part number 120-50645-005?,True,PASS,exact_part_lookup,True,evidence_support,4,4,0,0,,Improve evidence-support answers so they directly explain why each citation supports the requested figure/part.,"Answer:
The evidence supporting 120-50645-005 is the combination of source-trace-ready exact/table evidence, visual figure linkage when available, and OCR-backed nomenclature.

Evidence:
- [V6] visual figure link: Figure 69, part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"", page 315 [V6].
- [O1] ocr nomenclature: Figure 69, part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"", page 316 [O1].
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [E1] exact part evidence: part number 120-50645-005 [E1].
- [T1] table ocr proof: part number 120-50645-005 [T1].

Engineering confidence:
HIGH when the exact/table record, visual link, and OCR nomenclature all agree. If one of those sources is absent, treat the answer as narrower and cite the limitation.

L"
q10,PARTIAL,evidence_support,What evidence supports Figure 69?,True,PASS,visual_part_identification,True,evidence_support,3,3,0,0,,Improve evidence-support answers so they directly explain why each citation supports the requested figure/part.,"Answer:
The evidence supporting the requested item is the combination of source-trace-ready exact/table evidence, visual figure linkage when available, and OCR-backed nomenclature.

Evidence:
- [V6] visual figure link: Figure 69, part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"", page 315 [V6].
- [O1] ocr nomenclature: Figure 69, part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"", page 316 [O1].
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] table ocr proof: part number 120-50645-005 [T1].

Engineering confidence:
HIGH when the exact/table record, visual link, and OCR nomenclature all agree. If one of those sources is absent, treat the answer as narrower and cite the limitation.

Limits:
- This evidence does not prove interchangeabilit"
