page_id,page_number,source_operational_route,route_subtype,source_validation_decision,source_validation_status,source_final_do_not_embed,ocr_word_count,part_number_count,ocr_sample_text,answer_permission,can_answer_directly,can_prove_claims,source_truth_mutation_allowed,unsafe_record,human_review_required,manual_review_required,postgres_write_attempt,qdrant_write_attempt,opensearch_write_attempt,retry_attempted,retry_status,retry_validation_decision,final_validated_operational_route,final_validation_score,final_validation_reasons,final_do_not_embed,qdrant_embedding_allowed,opensearch_index_allowed,candidate_probe_results
t_p_120_1176_p000001,1,plain_text,cover_or_title_page,validated_primary_route,PASS,False,63,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,plain_text,100.0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",False,True,False,[]
t_p_120_1176_p000002,2,blank,blank_candidate,validated_primary_route,PASS,True,0,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,blank,100.0,"[""blank_subtype"", ""empty_or_near_empty_ocr"", ""no_part_number_tokens""]",True,False,False,[]
t_p_120_1176_p000003,3,table,detailed_parts_list,validated_primary_route,PASS,False,175,113,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,85.0,"[""table_subtype"", ""strong_part_number_density"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
t_p_120_1176_p000004,4,plain_text,procedure_or_description,validated_primary_route,PASS,False,128,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,plain_text,100.0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",False,True,False,[]
t_p_120_1176_p000005,5,table,table_or_index,validated_primary_route,PASS,False,397,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,75.0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
t_p_120_1176_p000006,6,table,table_or_index,validated_primary_route,PASS,False,417,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,75.0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
t_p_120_1176_p000007,7,table,table_or_index,validated_primary_route,PASS,False,374,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,75.0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
t_p_120_1176_p000008,8,table,table_or_index,validated_primary_route,PASS,False,368,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,75.0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
t_p_120_1176_p000009,9,table,table_or_index,validated_primary_route,PASS,False,373,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,75.0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
t_p_120_1176_p000010,10,table,table_or_index,validated_primary_route,PASS,False,364,0,,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,table,75.0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",False,True,True,[]
