question_id,category,question,grade,runner_passed,llm_answered,llm_mode,task_type,answer_citation_count,valid_answer_citation_count,source_trace_ready_citation_count,invalid_answer_citation_count,unsupported_claim_count,summary_used_as_proof_count,llm_error,answer_preview,run_dir
np01,interchangeability,Is 120-50645-005 interchangeable with 120-50645-011?,BLOCKED,False,False,ollama,,0,0,0,0,0,0,runner error: FileNotFoundError: [Errno 2] No such file or directory: 'local_data\\organization\\trace_net\\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\\runs\\q01_inter_04f8cbbd\\runner\\context_pack\\trace_net_engineering_answer_context_pack_v1_quality_check.json',,local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q01_inter_04f8cbbd
np02,installation_safety,Does figure 69 prove installation safety?,GOOD,True,True,ollama,visual_part_identification,8,8,8,0,0,0,,"Answer:
Not proven. TRACE-Net can prove that figure 69 is linked to part number 120-50645-005, identified by the nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1]. This identification is supported by visual links [V6], OCR-backed nomenclature [O1], and table/OCR proof for the part number [T1]. However, this evidence does not constitute proof of installation safety, fit approval, effectivity, or replacement approval.

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature provides the description ""DOUBLE PASSENGER SEAT ASSY"" for figure 69 on page 316.
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the identification of the part number and nomenclature associated with figure 69,",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q02_safe_f179f318
np03,fit_limit,Does figure 75 prove fit approval?,GOOD,True,True,ollama,visual_part_identification,8,8,8,0,0,0,,"Answer: Not proven. Figure 75 does not provide evidence of fit approval. TRACE-Net can prove the identity and nomenclature associated with figure 75, specifically that it is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2]. This identification is supported by visual links [V7], OCR-backed nomenclature [O2], and table/OCR proof [T1]. However, this identification evidence does not constitute proof of installation safety, fit approval, effectivity, or replacement approval.

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature identifies Figure 75 as ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-011 on page 328.
- [T1] Table/OCR proof supports the existence of part number 120-50645-011.

En",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q03_fig_098f39ee
np04,effectivity_limit,Does figure 91 prove aircraft effectivity?,GOOD,True,True,ollama,visual_part_identification,7,7,7,0,0,0,,"Answer: Not proven. TRACE-Net can prove that Figure 91 is linked to part number 120-29068-003 [V8] [O3], with the nomenclature ""STRUCTURE ASSY 00"" [O3], and that this part number is supported by table/OCR evidence [T1]. However, the current evidence does not provide proof of aircraft effectivity, interchangeability, fit, replacement approval, or installation safety.

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature identifies Figure 91 as ""STRUCTURE ASSY 00"" on page 384.
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q04_fig_30f10ddf
np05,troubleshooting,Why was nomenclature missing from the visual route evidence?,BLOCKED,True,False,ollama,troubleshooting_question,0,0,0,0,0,0,llm error: TimeoutError: timed out,,local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q05_why_4d90ecc1
np06,troubleshooting,Why does the visual route need OCR nomenclature evidence?,GOOD,True,True,ollama,troubleshooting_question,6,6,6,0,0,0,,"Answer:
The visual route (`visual_figure_link`) establishes a link between a figure and a part number [V6, V7, V8], but this visual-link evidence alone should not be treated as clean nomenclature proof unless a source-trace-ready nomenclature field or OCR/table record supports it. The `ocr_nomenclature` route is required because it provides the line-text evidence for the part name (the nomenclature) [O1, O2, O3]. This allows the pipeline to improve or recover description evidence when visual or table records alone lack a clean nomenclature field, enabling the nomenclature merger to carry that OCR-backed name into the final visual evidence pack.

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 [V6].
- [O1] OCR-backed nomenclature provides the specific line-text",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q06_why_6d0a39b8
np07,pipeline_recovery,What changed after the raw OCR nomenclature extractor was added?,BLOCKED,False,False,ollama,,0,0,0,0,0,0,runner error: FileNotFoundError: [Errno 2] No such file or directory: 'local_data\\organization\\trace_net\\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\\runs\\q07_pipeline_1578a903\\runner\\context_pack\\trace_net_engineering_answer_context_pack_v1_quality_check.json',,local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q07_pipeline_1578a903
np08,replacement_limit,Is 120-50645-005 an approved replacement for 120-50645-011?,GOOD,True,True,ollama,exact_part_lookup,18,18,18,0,0,0,,"Answer: Not proven. 

TRACE-Net can prove the identity, nomenclature, and location of both part numbers within the provided evidence. Specifically, part number 120-50645-005 [E1] [V6] [O1] [T1] is identified as ""DOUBLE PASSENGER SEAT ASSY"" on page 315 (Figure 69) and page 316 [O1]. Similarly, part number 120-50645-011 [E2] [V7] [O2] [T2] is identified as ""DOUBLE PASSENGER SEAT ASSY"" on page 327 (Figure 75) and page 328 [O2].

TRACE-Net cannot prove that 120-50645-005 is an approved replacement for 120-50645-011. The provided evidence does not contain any documentation regarding interchangeability, effectivity, fit, or replacement approval. Shared nomenclature and the presence of both parts within the same part family are not evidence of interchangeability or replacement authorization.

Evi",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q08_repl_05a5f019
np09,installation_safety,Can I safely install 120-50645-005 based only on Figure 69?,GOOD,True,True,ollama,visual_part_identification,8,8,8,0,0,0,,"Answer: Not proven. TRACE-Net can prove that Figure 69 is linked to part number 120-50645-005, which is identified as ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1], and that this part number is supported by exact-part and table/OCR evidence [E1] [T1]. However, TRACE-Net cannot prove installation safety, fit, effectivity, interchangeability, or replacement approval from the provided identification evidence.

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature identifies Figure 69 as ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-005 on page 316.
- [E1] Exact-part evidence confirms the existence of part number 120-50645-005.
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the f",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q09_safe_8a240f73
np10,unknown_part,Find part number 999-99999-999 and cite the source.,PARTIAL,False,True,ollama,exact_part_lookup,0,0,0,0,0,0,,"Answer: Not found / not source-trace-ready. TRACE-Net cannot verify or locate part number 999-99999-999 because no engineering evidence was provided in the proof_context. TRACE-Net can only confirm information that is explicitly documented within the supplied context pack, but it cannot prove the existence, location, or properties of this part number from the current evidence pack as no records were provided.

Evidence:
- No proof context was available.

Engineering confidence:
LOW because the context pack has no proof records. Nomenclature confidence: N/A.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q10_part_ea6f4b45
np11,unknown_figure,What does figure 999 show?,PARTIAL,False,True,ollama,visual_part_identification,0,0,0,0,0,0,,"Answer: Not found / not source-trace-ready. TRACE-Net cannot determine what figure 999 shows because no proof_context was provided that contains information regarding this specific figure. TRACE-Net cannot prove any part identity, nomenclature, or visual content associated with figure 999 from the current evidence pack.

Evidence:
- No proof context was available.

Engineering confidence:
LOW because the context pack has no records for this query. Nomenclature confidence: N/A.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q11_fig_ec0bc550
np12,summary_limit,Can v2 summaries alone prove Figure 69 part identity?,GOOD,True,True,ollama,visual_part_identification,8,8,8,0,0,0,,"Answer:
No, v2 summaries alone cannot prove Figure 69 part identity. V2 summaries may guide planning and framing, but they cannot be used as proof; all factual claims must be supported by citations from the `proof_context`.

TRACE-Net can prove that Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1], using visual evidence [V6], OCR-backed nomenclature [O1], and table/OCR proof [T1].

TRACE-Net cannot prove Figure 69 part identity using only v2 summaries.

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature identifies Figure 69 as ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-005 on page 316.
- [T1] Table/OCR proof supports the identification of part number 120-50645-005.

En",local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q12_fig_d11ba39e
np13,limitations,Give the engineering limitations for Figure 91.,BLOCKED,False,False,ollama,,0,0,0,0,0,0,runner error: FileNotFoundError: [Errno 2] No such file or directory: 'local_data\\organization\\trace_net\\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\\runs\\q13_limit_dfb8f027\\runner\\context_pack\\trace_net_engineering_answer_context_pack_v1_quality_check.json',,local_data\organization\trace_net\engineering_llm_answer_smoke_h14b_not_proven_rerun_v1\runs\q13_limit_dfb8f027
