citation_label,source_name,hit_class,proof_role,page_number,page_id,source_member,matched_part_number,field_path,route,source_quality_status
E1,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,ocr_sample_text,,PASS
E2,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,346,t_p_120_1176_p000346,00000346.tif,120-29073-001,ocr_sample_text,,PASS
E3,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,349,t_p_120_1176_p000349,00000349.tif,120-29073-001,ocr_sample_text,,PASS
E4,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,352,t_p_120_1176_p000352,00000352.tif,120-29073-001,ocr_sample_text,,PASS
E5,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,355,t_p_120_1176_p000355,00000355.tif,120-29073-001,ocr_sample_text,,PASS
E6,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,358,t_p_120_1176_p000358,00000358.tif,120-29073-001,ocr_sample_text,,PASS
E7,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,361,t_p_120_1176_p000361,00000361.tif,120-29073-001,ocr_sample_text,,PASS
E8,ocr_route_scan_pack,trusted_ocr_text_hit,direct_exact_match_proven,364,t_p_120_1176_p000364,00000364.tif,120-29073-001,ocr_sample_text,,PASS
E9,table_evidence_package,trusted_table_evidence_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,normalized_value,table,PASS
E10,table_evidence_package,trusted_table_evidence_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,raw_value,table,PASS
E11,table_evidence_package,trusted_table_evidence_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,search_text,table,PASS
E12,table_exact_search_adapter,trusted_table_exact_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,display_value,table,PASS
E13,table_exact_search_adapter,trusted_table_exact_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,normalized_value,table,PASS
E14,table_exact_search_adapter,trusted_table_exact_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,raw_value,table,PASS
E15,table_exact_search_adapter,trusted_table_exact_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,search_text,table,PASS
E16,table_exact_search_adapter,trusted_table_exact_hit,direct_exact_match_proven,,t_p_120_1176_p000032,,120-29073-001,search_tokens[6],table,PASS
E17,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,part_number_tokens[16],,PASS
E18,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[16],,PASS
E19,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[15],,PASS
E20,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[15],,PASS
E21,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,part_number_tokens[3],,PASS
E22,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[3],,PASS
E23,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[3],,PASS
E24,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[3],,PASS
E25,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,346,t_p_120_1176_p000346,00000346.tif,120-29073-001,part_number_tokens[2],,PASS
E26,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,346,t_p_120_1176_p000346,00000346.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[2],,PASS
E27,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,346,t_p_120_1176_p000346,00000346.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[2],,PASS
E28,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,346,t_p_120_1176_p000346,00000346.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[1],,PASS
E29,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,349,t_p_120_1176_p000349,00000349.tif,120-29073-001,part_number_tokens[4],,PASS
E30,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,349,t_p_120_1176_p000349,00000349.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[4],,PASS
E31,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,349,t_p_120_1176_p000349,00000349.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[4],,PASS
E32,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,349,t_p_120_1176_p000349,00000349.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[3],,PASS
E33,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,352,t_p_120_1176_p000352,00000352.tif,120-29073-001,part_number_tokens[4],,PASS
E34,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,352,t_p_120_1176_p000352,00000352.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[4],,PASS
E35,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,352,t_p_120_1176_p000352,00000352.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[4],,PASS
E36,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,352,t_p_120_1176_p000352,00000352.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[4],,PASS
E37,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,355,t_p_120_1176_p000355,00000355.tif,120-29073-001,part_number_tokens[4],,PASS
E38,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,355,t_p_120_1176_p000355,00000355.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[4],,PASS
E39,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,355,t_p_120_1176_p000355,00000355.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[4],,PASS
E40,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,355,t_p_120_1176_p000355,00000355.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[4],,PASS
E41,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,358,t_p_120_1176_p000358,00000358.tif,120-29073-001,part_number_tokens[4],,PASS
E42,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,358,t_p_120_1176_p000358,00000358.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[4],,PASS
E43,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,358,t_p_120_1176_p000358,00000358.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[4],,PASS
E44,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,358,t_p_120_1176_p000358,00000358.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[4],,PASS
E45,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,361,t_p_120_1176_p000361,00000361.tif,120-29073-001,part_number_tokens[5],,PASS
E46,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,361,t_p_120_1176_p000361,00000361.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[5],,PASS
E47,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,361,t_p_120_1176_p000361,00000361.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[5],,PASS
E48,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,361,t_p_120_1176_p000361,00000361.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[5],,PASS
E49,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,364,t_p_120_1176_p000364,00000364.tif,120-29073-001,part_number_tokens[4],,PASS
E50,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,364,t_p_120_1176_p000364,00000364.tif,120-29073-001,tesseract_attempts[0].part_number_tokens[4],,PASS
E51,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,364,t_p_120_1176_p000364,00000364.tif,120-29073-001,tesseract_attempts[1].part_number_tokens[4],,PASS
E52,ocr_route_scan_pack,trusted_metadata_hit,exact_metadata_candidate,364,t_p_120_1176_p000364,00000364.tif,120-29073-001,tesseract_attempts[2].part_number_tokens[4],,PASS
