question_id,category,question,grade,runner_passed,llm_answered,llm_mode,task_type,answer_citation_count,valid_answer_citation_count,source_trace_ready_citation_count,invalid_answer_citation_count,unsupported_claim_count,summary_used_as_proof_count,llm_error,llm_retry_used,llm_fallback_used,llm_fallback_reason,reasoning_trace_path,answer_preview,run_dir
q01,figure_lookup,What does figure 69 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16c_engram_30\t\q01_3cdcd0_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR text from page 316 provides the nomenclature ""DOUBLE PASSENGER SEAT ASSY"" for figure 69 and part number 120-50645-005 (OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16c_engram_30\r\q01_3cdcd0
q02,figure_lookup,What does figure 75 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16c_engram_30\t\q02_925499_trace.json,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for figure 75 on page 328 (OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16c_engram_30\r\q02_925499
q03,figure_lookup,What does figure 91 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16c_engram_30\t\q03_9a38c5_trace.json,"Answer:
Figure 91 is linked to part number 120-29068-003, ""STRUCTURE ASSY 00"" [V8] [O3].

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature provides ""STRUCTURE ASSY 00"" for figure 91 on page 384 (OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00...).
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16c_engram_30\r\q03_9a38c5
q04,comparison,Compare figure 69 and figure 75.,GOOD,True,True,ollama,comparison_question,5,5,5,0,0,0,,False,True,full_prompt_failed: RuntimeError: Ollama response did not contain answer text; retry_failed: RuntimeError: Ollama response did not contain answer text,local_data\organization\trace_net\llm_h16c_engram_30\t\q04_f61796_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\llm_h16c_engram_30\r\q04_f61796
q05,comparison,Compare figure 75 and figure 91.,GOOD,True,True,ollama,comparison_question,2,2,2,0,0,0,,True,False,full_prompt_failed_then_minimal_retry_succeeded: RuntimeError: Ollama response did not contain answer text,local_data\organization\trace_net\llm_h16c_engram_30\t\q05_848709_trace.json,"Answer:
Figure 75 refers to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2], whereas Figure 91 refers to part number 120-2906",local_data\organization\trace_net\llm_h16c_engram_30\r\q05_848709
q06,exact_part_lookup,Find part number 120-50645-005 and cite the source.,PARTIAL,True,True,ollama,exact_part_lookup,0,0,0,0,0,0,,True,False,full_prompt_failed_then_minimal_retry_succeeded: RuntimeError: Ollama response did not contain answer text,local_data\organization\trace_net\llm_h16c_engram_30\t\q06_078c4d_trace.json,"Answer:
Part number 120",local_data\organization\trace_net\llm_h16c_engram_30\r\q06_078c4d
q07,exact_part_lookup,Find part number 120-50645-011 and cite the source.,PARTIAL,True,True,ollama,exact_part_lookup,0,0,0,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16c_engram_30\t\q07_4bc389_trace.json,"Answer:
Part number 120-50645-011 is",local_data\organization\trace_net\llm_h16c_engram_30\r\q07_4bc389
q08,exact_part_lookup,Find part number 120-29068-003 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,4,4,4,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16c_engram_30\t\q08_4a4518_trace.json,"Answer:
Part number 120-29068-003 is present in source-trace-ready evidence and is associated with the nomenclature ""STRUCTURE ASSY"" [V8] and ""STRUCTURE ASSY 00"" [O3].

Evidence:
- [E1] Exact-part evidence contains part number 120-29068-003 on page 31.
- [V8] Visual",local_data\organization\trace_net\llm_h16c_engram_30\r\q08_4a4518
q09,evidence_support,What evidence supports part number 120-50645-005?,PARTIAL,True,True,ollama,exact_part_lookup,0,0,0,0,0,0,,True,False,full_prompt_failed_then_minimal_retry_succeeded: RuntimeError: Ollama response did not contain answer text,local_data\organization\trace_net\llm_h16c_engram_30\t\q09_ca2ae5_trace.json,Answer:,local_data\organization\trace_net\llm_h16c_engram_30\r\q09_ca2ae5
q10,evidence_support,What evidence supports Figure 69?,GOOD,True,True,ollama,visual_part_identification,4,4,4,0,0,0,,True,False,full_prompt_failed_then_minimal_retry_succeeded: RuntimeError: Ollama response did not contain answer text,local_data\organization\trace_net\llm_h16c_engram_30\t\q10_1803e7_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR text identifies ""DOUBLE PASSENGER SEAT ASSY"" for figure 69 on page 316 (Line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT",local_data\organization\trace_net\llm_h16c_engram_30\r\q10_1803e7
