question_id,category,question,grade,runner_passed,llm_answered,llm_mode,task_type,answer_citation_count,valid_answer_citation_count,source_trace_ready_citation_count,invalid_answer_citation_count,unsupported_claim_count,summary_used_as_proof_count,llm_error,llm_retry_used,llm_fallback_used,llm_fallback_reason,reasoning_trace_path,answer_preview,run_dir
np01,interchangeability,Is 120-50645-005 interchangeable with 120-50645-011?,GOOD,True,True,ollama,exact_part_lookup,14,14,14,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q01_04f8cb_trace.json,"Answer: Not proven. 

TRACE-Net can prove that both part number 120-50645-005 [E1] and part number 120-50645-011 [E2] are present in the source evidence and share the same nomenclature, ""DOUBLE PASSENGER SEAT ASSY"" [O1, O2]. Specifically, 120-50645-005 is linked to Figure 69 on page 315 [V6] and identified via OCR on page 316 [O1], while 120-50645-011 is linked to Figure 75 on page 327 [V7] and identified via OCR on page 328 [O2]. Table/OCR evidence further supports the presence of both parts [T1, T2].

However, shared nomenclature, proximity in figures, or part-family similarity does not constitute proof of interchangeability, replacement approval, fit, or installation safety. TRACE-Net cannot prove if these two parts are interchangeable based on the provided documentation.

Evidence:
- [",local_data\organization\trace_net\llm_h16b_engram_np\r\q01_04f8cb
np02,installation_safety,Does figure 69 prove installation safety?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q02_f179f3_trace.json,"Answer: Not proven. Figure 69 does not provide evidence for installation safety. TRACE-Net can prove the identity and nomenclature associated with figure 69, specifically that it is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature identifies Figure 69 as ""DOUBLE PASSENGER SEAT ASSY"" (part number 120-50645-005) on page 316 via line text: `69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF`.
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
Identification evidence (f",local_data\organization\trace_net\llm_h16b_engram_np\r\q02_f179f3
np03,fit_limit,Does figure 75 prove fit approval?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q03_098f39_trace.json,"Answer: Not proven. Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for figure 75 on page 328 (OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove fit approval, installation safety, interchangeability, effectivity, or replacement approval. 
- Identification evidence (linking a figure to a part number a",local_data\organization\trace_net\llm_h16b_engram_np\r\q03_098f39
np04,effectivity_limit,Does figure 91 prove aircraft effectivity?,GOOD,True,True,ollama,visual_part_identification,6,6,6,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q04_30f10d_trace.json,"Answer: Not proven. TRACE-Net can prove that Figure 91 is visually linked to part number 120-29068-003 [V8] and that OCR-backed nomenclature identifies this as ""STRUCTURE ASSY 00"" [O3], with table/OCR support for the part number [T1]. This identification evidence does not constitute proof of aircraft effectivity, installation safety, fit approval, or replacement approval.

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature provides ""STRUCTURE ASSY 00"" for figure 91 on page 384 (OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00...).
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace",local_data\organization\trace_net\llm_h16b_engram_np\r\q04_30f10d
np05,troubleshooting,Why was nomenclature missing from the visual route evidence?,GOOD,True,True,ollama,troubleshooting_question,4,4,4,0,0,0,,True,False,full_prompt_failed_then_minimal_retry_succeeded: RuntimeError: Ollama response did not contain answer text,local_data\organization\trace_net\llm_h16b_engram_np\t\q05_4d90ec_trace.json,"Answer: Nomenclature was missing from the visual route because that route only establishes figure-to-part linkage [V6], whereas the nomenclature text must be provided by the OCR nomenclature route which contains the line-text evidence for the part name [O1].

Evidence:
- [V6] provides the visual link between Figure 69 and part number 120-50645-005.
- [O1] provides the OCR-extracted nomenclature ""DOUBLE PASSENGER SEAT ASSY"" via line-text evidence.

Engineering confidence: High

Limits: This is a TRACE-Net pipeline explanation and does not constitute proof of interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16b_engram_np\r\q05_4d90ec
np06,troubleshooting,Why does the visual route need OCR nomenclature evidence?,GOOD,True,True,ollama,troubleshooting_question,8,8,8,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q06_6d0a39_trace.json,"**Answer**
The visual route (`visual_figure_link`) is used to establish figure-to-part identity, such as linking Figure 69 to part number 120-50645-005 [V6]. However, visual-link evidence alone should not be treated as clean nomenclature proof unless a source-trace-ready nomenclature field or OCR/table record supports it. The `ocr_nomenclature` route is necessary because it provides the actual line-text evidence for the part name (e.g., ""DOUBLE PASSENGER SEAT ASSY"" [O1]), which improves or recovers description evidence when visual or table records alone lack a clean, unambiguous nomenclature field.

**Evidence**
*   [V6] Visual evidence establishes the link between Figure 69 and part number 120-50645-005 on page 315.
*   [O1] OCR-backed nomenclature provides the specific line-text proof fo",local_data\organization\trace_net\llm_h16b_engram_np\r\q06_6d0a39
np07,pipeline_recovery,What changed after the raw OCR nomenclature extractor was added?,PARTIAL,True,True,ollama,table_extraction_question,0,0,0,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q07_1578a9_trace.json,"Answer:
The addition of the raw OCR nomenclature extractor introduced a second route for establishing part descriptions within the pipeline. While the visual route (`visual_figure_link`) establishes figure-to-part identity [V6, V7, V8], visual-link evidence alone should not be treated as clean nomenclature proof unless a source-trace-ready nomenclature field or OCR/table record supports it. The OCR nomenclature route ([O1, O2, O3]) provides line-text evidence for the part name (e.g., ""69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY...""), which allows the system to",local_data\organization\trace_net\llm_h16b_engram_np\r\q07_1578a9
np08,replacement_limit,Is 120-50645-005 an approved replacement for 120-50645-011?,GOOD,True,True,ollama,exact_part_lookup,12,12,12,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q08_05a5f0_trace.json,"Answer: Not proven. TRACE-Net can prove the identity, nomenclature, and source locations for both part numbers, but it cannot prove that 120-50645-005 is an approved replacement for 120-50645-011.

Part number 120-50645-005 is identified in Figure 69 [V6] with the nomenclature ""DOUBLE PASSENESSER SEAT ASSY"" [O1] and is supported by exact part evidence [E1] and table/OCR proof [T1].

Part number 120-50645-011 is identified in Figure 75 [V7] with the nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [O2] and is supported by exact part evidence [E2] and table/OCR proof [T2].

While both parts share identical nomenclature [O1, O2], shared nomenclature, nearby figures, or part-family similarity are not evidence of interchangeability or replacement approval.

Evidence:
- [V6] Visual link for 120-50645-0",local_data\organization\trace_net\llm_h16b_engram_np\r\q08_05a5f0
np09,installation_safety,Can I safely install 120-50645-005 based only on Figure 69?,GOOD,True,True,ollama,visual_part_identification,8,8,8,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q09_8a240f_trace.json,"Answer:
Not proven. TRACE-Net can prove that Figure 69 is visually linked to part number 120-50645-005 [V6], and OCR-backed nomenclature identifies this part as ""DOUBLE PASSENGER SEAT ASSY"" [O1]. This identification is further supported by exact part evidence [E1] and table/OCR proof [T1].

However, the provided evidence only establishes identity and nomenclature; it does not provide proof of installation safety, fit approval, aircraft effectivity, or replacement approval.

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature identifies Figure 69 as ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-005 on page 316 (Line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [E1] Exact-part evide",local_data\organization\trace_net\llm_h16b_engram_np\r\q09_8a240f
np10,unknown_part,Find part number 999-99999-999 and cite the source.,PARTIAL,False,True,ollama,exact_part_lookup,0,0,0,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16b_engram_np\t\q10_ea6f4b_trace.json,"Answer: Not found / not source-trace-ready. No proof_context was available to identify or locate part number 999-99999-999.

Evidence:
- No proof context was available.

Engineering confidence:
LOW because the context pack contains no records for this part number. Nomenclature confidence: N/A.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\llm_h16b_engram_np\r\q10_ea6f4b
