severity,original_severity,triage_severity,triage_category,triage_action,triage_reason,needs_review,triage_part_candidate,triage_issue_type,report,key,count,part_number,nomenclature,ata_code,page_label,details,tiff_path,ocr_text_path
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,AM03078-22,,part_nomenclature_conflicts,AM0307822,8,AM03078-22,,,,"ASHTRAY, ASHTRAY OOO CTS, ASHTRAY . O.OO, ASHTRAY EECTS, ASHTRAY OO, ASHTRAY UU, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, ~ ASHTRAY OO.CCCCCCCCECCECCCESCESSSESSSTSSTSSSTSSTSSSSESEE E065846",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,AM03078-30,,part_nomenclature_conflicts,AM0307830,7,AM03078-30,,,,"ASHTRAY, ASHTRAY . ETERS, ASHTRAY 0, ASHTRAY OO, ASHTRAY OOO. ERE, ASHTRAY | . CREE, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120272/120273,,part_nomenclature_conflicts,120272120273,6,120272/120273,,,,"SEAT, ER SEAT, 6 AND, EAT, JER SEAT, RAFT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-01,,part_nomenclature_conflicts,1202906801,6,120-29068-01,,,,"1201P250082, MCE, 120TP250082.MCE, 120TP250087.MCE, 3 STRUCTURE ASSY, 7 STRUCTURE ASSY, 9 STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-48023-001,,part_nomenclature_conflicts,12048023001,6,120-48023-001,,,,"PIN, ATTACH, W PIN, ATTACH, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, PIN, ATTACH . CREE, ~ PIN, ATTACH, ~ PIN, ATTACH . ERECT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-48024-001,,part_nomenclature_conflicts,12048024001,6,120-48024-001,,,,"RING, LOCKING, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, RING, LOCKING . C, RING, LOCKING . §=WS4956, RING, LOCKING WWW, ~ RING, LOCKING",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-073,,part_nomenclature_conflicts,12029068073,5,120-29068-073,,,,"STRUCTURE, ASSY. (SEE FIGURE, 120CMM250085.MCE A, 120TP250083.MCE, >, 120278 AND ON, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-37735-001,,part_nomenclature_conflicts,12037735001,5,120-37735-001,,,,"LINING ASSY, - ARMREST, LINING ASSY., - ARMREST, LINING ASSY., ARMREST, CH-SEC-UN-FIG | ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, LINING ASSY., SEAT ARMREST",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-42547-019,,part_nomenclature_conflicts,12042547019,5,120-42547-019,,,,"SECTION, PVC, SECTION, PVC . CREE, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, SECTION, PVC UO, SECTION, PVC UU",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,PE21052-2,,part_nomenclature_conflicts,PE210522,5,PE21052-2,,,,"PIN, ATTACH, CH-SEC-UN-FIG | ) ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, PIN, ATTACH. 0.000: CCEEECEEEEEEEEEEEEEEESENEEEES A, PIN, ATTACH. 0000CCCSSSSEEEECEEEEEEESSNEANES, W PIN, ATTACH",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-001,,part_nomenclature_conflicts,12029068001,4,120-29068-001,,,,"120TP250080.MCE, 120TP250081.MCE, STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-003,,part_nomenclature_conflicts,12029068003,4,120-29068-003,,,,"STRUCTURE, ASSY. (SEE FIGURE, 120TP250081.MCE, 120TP250086.MCE, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-015,,part_nomenclature_conflicts,12029068015,4,120-29068-015,,,,"STRUCTURE, ASSY. (SEE FIGURE, 120TP250091.MCE, 120TP250092.MCE, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-075,,part_nomenclature_conflicts,12029068075,4,120-29068-075,,,,"120CMM250085.MCE A, 120TP250091.MCE, STRUCTURE ASSY, STRUCTURE, ASSY. (SEE FIGURE",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-077,,part_nomenclature_conflicts,12029068077,4,120-29068-077,,,,"STRUCTURE, ASSY. (SEE FIGURE, 120TP250083.MCE, 420CMM250085.MCE A, STRUCTURE ASSY 0",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-079,,part_nomenclature_conflicts,12029068079,4,120-29068-079,,,,"STRUCTURE, ASSY. (SEE FIGURE, 120CMM250095.MCE A, 120TP250091.MCE, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-40636-001,,part_nomenclature_conflicts,12040636001,4,120-40636-001,,,,"LINING ASSY, - ARMREST, LINING ASSY., - ARMREST, CH-SEC-UN-FIG | ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER, LINING ASSY., ARMREST",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,1002-C/6,,part_nomenclature_conflicts,1002C6,3,1002-C/6,,,,"SUPPORT, FASTENER BUTTON MALE, 1002-C/, 1002-F",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,1002-F,,part_nomenclature_conflicts,1002F,3,1002-F,,,,"FASTENER BUTTON, MALE, 1002-F, CH-SEC-UN-FIG] } ASSY NUMBER CH-SEC-UN-FIG] | ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29067-005,,part_nomenclature_conflicts,12029067005,3,120-29067-005,,,,"STRUCTURE, ASSY. (SEE FIGURE, 120TP250077.MCE, STRUCTURE ASSY COCCCCCCCCCSSSSSSSSSSSNNNNS WS4956[ A",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29067-019/029,,part_nomenclature_conflicts,12029067019029,3,120-29067-019/029,,,,"120TP250075.MCE, AND ON, LOCKING. 0CCCCEEEESSESEEERSSEEEREEE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-005/049,,part_nomenclature_conflicts,12029068005049,3,120-29068-005/049,,,,"120TP250082.MCE, 120TP250083.MCE, OCKING WWE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-017/027/039/059,,part_nomenclature_conflicts,12029068017027039059,3,120-29068-017/027/039/059,,,,"1201P250082, MCE, 120TP250083.MCE, OCKING WWE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-025/027,,part_nomenclature_conflicts,12029068025027,3,120-29068-025/027,,,,"120TP250088.MCE, 120TP250093.MCE, TURE, ARMREST",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-029/047,,part_nomenclature_conflicts,12029068029047,3,120-29068-029/047,,,,"120TP250084.MCE, 120TP250091.MCE, OCKING WWE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-031/053,,part_nomenclature_conflicts,12029068031053,3,120-29068-031/053,,,,"120TP250083.MCE, 120TP250084.MCE, OCKING WWE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-035/057,,part_nomenclature_conflicts,12029068035057,3,120-29068-035/057,,,,"120TP250083.MCE, 120TP250094.MCE, OCKING WWE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-043/045,,part_nomenclature_conflicts,12029068043045,3,120-29068-043/045,,,,"120TP250083.MCE, 120TP250094.MCE, CTIVE PLATE",,
info,review,info,compound_part_reference,keep_as_info,"candidate is a slash-separated part group/range, not one canonical catalog part row",false,120-29068-061/063,,part_nomenclature_conflicts,12029068061063,3,120-29068-061/063,,,,"120TP250083.MCE, 120TP250093.MCE, YTURE, ARMREST",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-29068-071,,part_nomenclature_conflicts,12029068071,3,120-29068-071,,,,"120CMM250089.MCE A, 120TP250083.MCE, STRUCTURE ASSY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-34489-001,,part_nomenclature_conflicts,12034489001,3,120-34489-001,,,,"PROTECTIVE PLATE, PROTECTIVE PLATE . C, PLATE, REINFORCING",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36833-015,,part_nomenclature_conflicts,12036833015,3,120-36833-015,,,,"KIT, SNACK TABLE FOLDING, ASSY, KIT, SNACK FOLDING TABLE, ASSY, CH-SEC-UN-FIG | ] ASSY NUMBER CH-SEC-UN-FIG | ] ASSY NUMBER",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36834-003,,part_nomenclature_conflicts,12036834003,3,120-36834-003,,,,"120TP250063.MCE, DOUBLE PASSENGER SEAT ASSY, IT DY",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36834-503,,part_nomenclature_conflicts,12036834503,3,120-36834-503,,,,"DOUBLE PASSENGER SEAT ASSY, 120TP250064.MCE, TTT DT",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36834-511,,part_nomenclature_conflicts,12036834511,3,120-36834-511,,,,"1201P250065A.MCE, DOUBLE PASSENGER SEAT ASSY, TIF",,
review,review,review,real_part_nomenclature_conflict,manual_review,candidate looks like a real part with conflicting nomenclature evidence,true,120-36834-517,,part_nomenclature_conflicts,12036834517,3,120-36834-517,,,,"120TP250066.MCE, DOUBLE PASSENGER SEAT ASSY, TL DL",,
