link_record_id,page_id,page_number,figure,callout,link_confidence,linked,linked_part_number,linked_description,linked_description_quality,linked_citation_label,source_trace_ready,citation_ready,requires_human_review,answer_permission,source_truth_mutation_allowed
visual_callout_link_v2_00001,t_p_120_1176_p000015,15,1,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00002,t_p_120_1176_p000015,15,2,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00003,t_p_120_1176_p000017,17,1,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00004,t_p_120_1176_p000018,18,2,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00005,t_p_120_1176_p000019,19,3,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00006,t_p_120_1176_p000315,315,69,,MEDIUM,True,120-50645-005,,missing_not_filename,E1011,True,True,True,False,False
visual_callout_link_v2_00007,t_p_120_1176_p000327,327,75,,MEDIUM,True,120-50645-011,,missing_not_filename,E1059,True,True,True,False,False
visual_callout_link_v2_00008,t_p_120_1176_p000382,382,91,,MEDIUM,True,120-29068-003,,missing_not_filename,E1275,True,True,True,False,False
visual_callout_link_v2_00009,t_p_120_1176_p000467,467,1,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00010,t_p_120_1176_p000468,468,1,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00011,t_p_120_1176_p000468,468,01,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00012,t_p_120_1176_p000477,477,602,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00013,t_p_120_1176_p000477,477,603,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00014,t_p_120_1176_p000485,485,613,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00015,t_p_120_1176_p000491,491,601,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00016,t_p_120_1176_p000493,493,603,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00017,t_p_120_1176_p000494,494,604,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00018,t_p_120_1176_p000497,497,607,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00019,t_p_120_1176_p000498,498,608,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00020,t_p_120_1176_p000499,499,609,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00021,t_p_120_1176_p000500,500,610,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00022,t_p_120_1176_p000503,503,613,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00023,t_p_120_1176_p000506,506,1,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00024,t_p_120_1176_p000507,507,87,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00025,t_p_120_1176_p000507,507,107,,LOW,False,,,none,,False,False,True,False,False
visual_callout_link_v2_00026,t_p_120_1176_p000507,507,84,,LOW,False,,,none,,False,False,True,False,False
