anchor_role,anchor_status,answer_permission,can_answer_directly,can_prove_claims,citation_label,context_priority,excerpt,field_path,hit_class,human_review_required,manual_review_required,matched_part_number,module,opensearch_write_attempt,page_id,page_number,postgres_write_attempt,proof_role,proof_strength,qdrant_write_attempt,query_part_numbers,record_type,source_member,source_name,source_truth_mutation_allowed,unsafe_record,version,leiden_community_ids,anchor_aware_role,anchor_relation_type,anchor_context_priority,same_anchor_leiden_community,same_anchor_leiden_community_ids,anchor_aware_warnings
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E1,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM | PER NUMBER TO ASSY 79 - | 120-29067-001 STRUCTURE ASSY ......cccccccceceeeeeeeeeeeeees VS4956 A REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG. ................. VS4956 1 ATTACHING PARTS 10 | PE21052-2 W PIN, ATTACH............ccccceccseceeeeeeeeeeeeeseeennees 1 20 | 42952-10 / FITTING, ATTACH 0... ec cccecceeenteennees 1 -21 |42975-12 OCREW ccc cceneesetseeeeeeeeeeeeeeeennaes 1 -22 | 43392-10 OPRING Lo. cccccceeeeeteseeeeeeeeeeeeeeeenaes 1 30 | MS21042L5 NUT oo ccceeceeeeeeeesssesseeseeeseeseeeeeeeeeeeeees es 2 40 | AN960-516 Ae) | lp ee 2 50 | AN960-516L WASHER LL... cece cece eeeeeeeeeeeeeneeeenaes 2 60 | AN5-16A ial = | ©) Et ne 1 70 | 120-34291-001 . PROTECTOR, LUGGAGE............000000008 VS4",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000343,343,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000343.tif,ocr_route_scan_pack,False,False,v1,"[""4"", ""tracenet_community_00004""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""4"", ""tracenet_community_00004""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E2,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM; PER NUMBER TO ASSY 80 - | 120-29067-019 STRUCTURE ASSY ......cccccceeeeeeeeeeeeeeeeees VS4956 A REF - | 120-29067-029 STRUCTURE ASSY ......cccccceeeeeeeeeeeeeeeeees VS4956 | 172/999] REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG ................ VS4956 A 1 -2 | 120-29073-005 . STRUCTURE, LATERAL LEG ...........0...... VS4956 | 172/999 1 ATTACHING PARTS 10 | PE21052-2 / PIN, ATTACH... ccccccceeetettteneeeeeeeees 049/301 1 -11 | 120-48023-001 / PIN, ATTACH... ccccccccenecseaeaeeeeeeeeeees VS4956 | 302/999 1 -15 | 120-61546-001 NC) ere VS4956 | 302/999 1 20 | 42952-10 ~ FITTING, ATTACH... ceceeeceeeeeeeeeeeeeees 1 -21 | 42975-12 OCREW. 2... ccccccccceeccececentttsseessaeeeeeeeeees 1 -22 | 43392-10 ARS) od 3d | C 1 30 |MS21042L5 NUT oo. cececeeeeeeesssssesseeeeeeseeseeeseeeeeeeeeeees 2",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000346,346,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000346.tif,ocr_route_scan_pack,False,False,v1,"[""50"", ""tracenet_community_00050""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""50"", ""tracenet_community_00050""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E3,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST FIG. ITEM PART NUMBER ‘STOCK vase EODE. FROM PER NUMBER TO ASSY 81 - | 120-29067-003 STRUCTURE ASSY .........ccccccceeeeeeeeeeeeeas VS4956 A REF - | 120-29067-021 STRUCTURE ASSY .........ccccccceeeeeeeeeeeeeas VS4956 B REF - | 120-29067-031 STRUCTURE ASSY .........ccccccceeeeeeeeeeeeeas VS4956 | 172/999} REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG................ VS4956 C 1 -2 | 120-29073-005 . STRUCTURE, LATERAL LEG ................... VS4956 | 172/999 1 ATTACHING PARTS 10 | PE21052-2 PIN, ATTACH... ccc ccccceceeee eee eeeeeeeeeeeees D 1 -11 | 120-48023-001 PIN, ATTACH... cece ccccccceeeeeeaeeeneeaes VS4956 | 302/999 1 -15 | 120-61546-001 NC VS4956 | 302/999} 1 20 | 42952-10 ~ FITTING, ATTACH ..... 0... .cccc cece ee ee ee eeeaeees 1 -21 | 42975-12 SCREW... .cccccecessseeseesceeseesseeseeeeeeeeeeees 1 -22 | 43392-10 SPRING 2... .ccc cece ecec ee ececeeeeeaeeeeeeeeeeseaeees 1 30 | MS21042L5 NO 2 40 |",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000349,349,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000349.tif,ocr_route_scan_pack,False,False,v1,"[""87"", ""tracenet_community_00087""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""87"", ""tracenet_community_00087""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E4,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM; PER NUMBER TO ASSY 82 - | 120-29067-005 STRUCTURE ASSY ......cccccceeeeeeeeeeeeeeeeees VS4956 A REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG ................ VS4956 1 ATTACHING PARTS 10 | PE21052-2 / PIN, ATTACH... cccccccccceentstttstseeeeeeeees 1 20 | 42952-10 . FITTING, ATTACH ....... cc. ccceeeecceeeeeeeeeeeeees 1 -21 | 42975-12 OCREW. 2... ccccccccceeccececentttsseessaeeeeeeeeees 1 -22 | 43392-10 ARS) od 3d | C 1 30 | MS21042L5 NUT oo. cececeeeeeeesssssesseeeeeeseeseeeseeeeeeeeeeees 2 40 | AN960-516 AVN) | =] 5 Ore 2 50 | AN960-516L AVN) | =] 5 2 60 | AN5-16A BOLT 000... ccccccccccsseceeeeceeeeceeeeeesssstsasssaueeeeeees 1 70 | 120-29067-011 . FBACKREST 1.0... cccccceeeteeenteeeeeeeeeees VS4",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000352,352,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000352.tif,ocr_route_scan_pack,False,False,v1,"[""4"", ""tracenet_community_00004""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""4"", ""tracenet_community_00004""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E5,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM | PER NUMBER TO ASSY 83 - | 120-29067-023 STRUCTURE ASSY ......cccccccceceeeeeeeeeeeeees VS4956 A REF - | 120-29067-033 STRUCTURE ASSY ......cccccccceceeeeeeeeeeeeees VS4956 | 172/999] REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG............0064 VS4956 A 1 -2 | 120-29073-005 . STRUCTURE, LATERAL LEG ................... VS4956 | 172/999 1 ATTACHING PARTS 10 | PE21052-2 W PIN, ATTACH............ccccceccseceeeeeeeeeeeeeseeennees 1 20 | 42952-10 / FITTING, ATTACH 0... ec cccecceeenteennees 1 -21 |42975-12 OCREW ccc cceneesetseeeeeeeeeeeeeeeennaes 1 -22 | 43392-10 OPRING Lo. cccccceeeeeteseeeeeeeeeeeeeeeenaes 1 30 | MS21042L5 NUT uo. cccecceceeesesesttteeseesseeseeeeeeeeeeeeeee es 2 40 | AN960-516 Ae) | lp ee 2 50 | AN960-516L WASHER LL... cece cece eeeeeeeeeeeeeneeeenaes 2 60 | AN5-16A B",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000355,355,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000355.tif,ocr_route_scan_pack,False,False,v1,"[""24"", ""tracenet_community_00024""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""24"", ""tracenet_community_00024""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E6,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM| PARTNUMBER | STOCK Meuse eODE. FROM | PER NUMBER TO ASSY 84 - | 120-29067-015 STRUCTURE ASSY ...0....eececcecerteeetereteees VS4956 A REF - | 120-29067-025 STRUCTURE ASSY ...0....eececcecerteeetereteees VS4956 B REF - | 120-29067-035 STRUCTURE ASSY ...00...eccceerreeretrerttees VS4956 | 172/999} REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG... VS4956 | 035/171 1 -2 | 120-29073-005 . STRUCTURE, LATERAL LEG... VS4956 | 172/999 1 ATTACHING PARTS 10 | PE21052-2 ~ PIN, ATTACH... 2. ececcececteeeeeeeeeseereenereeneees 035/301 1 -11 | 120-48023-001 / PIN, ATTACH... eee eeceeereeeeeereeceerterentreeenees VS4956 | 302/999 1 -15 | 120-61546-001 A | Oe VS4956 | 302/999 1 20 | 42952-10 -FIITTING, ATTACH 0... eeeceeeeeteeetentrerenes 1 -21 | 42975-12 OCREW. 2... eecccceeecceeeeeeeeseeeesnetetentterenees 1 -22 | 43392-10 OPRING 0. eccceeereeeeeeteeeneteeeetteeenneeeeens 1 30 |MS21042L5 NO 2",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000358,358,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000358.tif,ocr_route_scan_pack,False,False,v1,"[""4"", ""tracenet_community_00004""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""4"", ""tracenet_community_00004""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E7,1000.0,"€ emenncn MAINTENANCE MANUAL WITH T.P. 120/1176 ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK vase EODE. FROM PER NUMBER TO ASSY 85 - | 120-29067-017 STRUCTURE ASSY.....0... cece VS4956 A REF - | 120-29067-027 STRUCTURE ASSY.....0... cece VS4956 B REF - | 120-29067-037 STRUCTURE ASSY....0... cece VS4956 | 172/999 REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG............. VS4956 | 035/171 1 -2 | 120-29073-005 . STRUCTURE, LATERAL LEG............. VS4956 | 172/333 1 -3 | 120-29073-007 . STRUCTURE, LATERAL LEG............. VS4956 | 334/999 1 ATTACHING PARTS 10 | PE21052-2 / PIN, ATTACH.........00.ccccccccecceeeeeeeeeeennes 035/301 1 -11 | 120-48023-001 / PIN, ATTACH. ..........cccccccceccceeeeeeeeeennnes VS4956 | 302/999 1 -15 | 120-61546-001 . NUT VS4956 | 302/999 1 20 | 42952-10 . FITTING, ATTACH........... cece 1 -21 | 42975-12 OCREW. 0... ccccceccccceeeeeeeeeeeeeeennes 1 -22 | 43392-10 OPRING....... ccc cccccccc",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000361,361,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000361.tif,ocr_route_scan_pack,False,False,v1,"[""1"", ""tracenet_community_00001""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""1"", ""tracenet_community_00001""]",[]
direct_exact_match_anchor,ANCHOR_INJECTED,False,False,False,E8,1000.0,"€ emenncn MAINTENANCE MANUAL WITH ILLUSTRATED PARTS LIST AIRLINE EFF | UNITS FIG. ITEM | PARTNUMBER STOCK ease eODE. FROM | PER NUMBER TO ASSY 86 - | 120-29067-007 STRUCTURE ASSY ........cccccceteeseeeeeeeees VS4956 A REF 1 | 120-29073-001 . STRUCTURE, LATERAL LEG...............0.... VS4956 1 ATTACHING PARTS 10 | PE21052-2 / PIN, ATTACH 20.0... ccccccceceecceeeeeeeeeeeeeeeeeees 1 20 | 42952-10 . FITTING, ATTACH ...........ccccceecceeceeeeeeeeeeee 1 -21 | 42975-12 OCREW. ooo cc ccccceenttteteseeeeeeeeeeeeeeenes 1 -22 | 43392-10 OPRING 0. ccccccceceeeseeenstseeeeeeeeeeeeeeees 1 30 |MS21042L5 NUT ooo eeeeeccceeceeeeeeeeeeeeeeeeeeeeseeeeeeeeaeeeeees 2 40 | AN960-516 VANS) a =] 5 rr 2 50 | AN960-516L ~ WASHER oc cccccccccerttteeeseeeeeeeeeeeeeees 2 60 | AN5-16A 5] O) Et ne ee 1 70 | 120-29067-011 ~. FBACKREST o.oo... cccee",ocr_sample_text,trusted_ocr_text_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000364,364,False,direct_exact_match_proven,direct_exact_proof,False,"[""120-29073-001""]",answer_context_anchor_record,00000364.tif,ocr_route_scan_pack,False,False,v1,"[""4"", ""tracenet_community_00004""]",direct_exact_match_anchor,exact_anchor,1000.0,True,"[""4"", ""tracenet_community_00004""]",[]
exact_reference_anchor,ANCHOR_INJECTED,False,False,False,E10,650.0,120-29073-001,tesseract_attempts[0].part_number_tokens[16],trusted_metadata_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000032,32,False,exact_metadata_candidate,exact_reference,False,"[""120-29073-001""]",answer_context_anchor_record,00000032.tif,ocr_route_scan_pack,False,False,v1,"[""28"", ""41"", ""tracenet_community_00028"", ""tracenet_community_00041""]",exact_reference_anchor,exact_reference,800.0,False,[],[]
exact_reference_anchor,ANCHOR_INJECTED,False,False,False,E11,650.0,120-29073-001,tesseract_attempts[1].part_number_tokens[15],trusted_metadata_hit,False,False,120-29073-001,trace_net_answer_context_anchor_injector_v1,False,t_p_120_1176_p000032,32,False,exact_metadata_candidate,exact_reference,False,"[""120-29073-001""]",answer_context_anchor_record,00000032.tif,ocr_route_scan_pack,False,False,v1,"[""28"", ""41"", ""tracenet_community_00028"", ""tracenet_community_00041""]",exact_reference_anchor,exact_reference,800.0,False,[],[]
