extractor_record_id,page_id,page_number,source_member,figure_candidates,callout_candidates,title_candidates,ocr_label_confidence,ocr_text_available,source_trace_ready,answer_permission,source_truth_mutation_allowed
image_ocr_figure_callout_00001,t_p_120_1176_p000015,15,00000015.tif,"[""1"", ""2""]",[],"[""FIGURE 1 ) configurations listed below may be found on the \""EMB- 120\"" Brasilia: (1) First row single passenger seat with plug-in type snack table. (\u2026"", ""FIGURE 2 ) may be found in the following configurations: (1) First row Double Passenger Seat with plug-in type snack table. 41cff6d482257095cc27c2cb\u2026""]",MEDIUM,True,True,False,False
image_ocr_figure_callout_00002,t_p_120_1176_p000017,17,00000017.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00003,t_p_120_1176_p000018,18,00000018.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00004,t_p_120_1176_p000019,19,00000019.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00005,t_p_120_1176_p000315,315,00000315.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00006,t_p_120_1176_p000327,327,00000327.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00007,t_p_120_1176_p000382,382,00000382.tif,[],[],"[""FIGURE URE _id': 'fig_1', 'page_id': 't_p_120_1176_p000382', 'description': 'Text accompanying the diagram, likely providing instructions or specifica\u2026""]",NONE,True,True,False,False
image_ocr_figure_callout_00008,t_p_120_1176_p000467,467,00000467.tif,"[""1""]",[],"[""FIGURE 1 of the Illustrated Parts Li 879d088e56d306f7053d54f3308e5b5fb88eb02c3070b109c90cb020a5f86d25""]",MEDIUM,True,True,False,False
image_ocr_figure_callout_00009,t_p_120_1176_p000468,468,00000468.tif,"[""1"", ""01""]",[],"[""FIGURE 1 of the Illustrated Parts List) (1) Remove the Life Jacket Stowage (130) by releasing its four male fastener buttons (150). G. Seat Bottom (\u2026"", ""FIGURE 01 of the Illustrated Parts List) (1) Remove the Magazine Holder (200) by loosing its two attaching male fastener buttons and the Velcro faste\u2026"", ""FIGURE 01 of the Illustrated Parts List) (1) Remove nut (180), washer (170), and screw (190), and detach the PVC section (160). K. Fixed Armrest Disa\u2026"", ""FIGURE 01 of the Illustrated Parts List) ( 4caed7ef5f9768268404382277624ee76f1060a131e944d556c3d4595a9b7b57""]",MEDIUM,True,True,False,False
image_ocr_figure_callout_00010,t_p_120_1176_p000477,477,00000477.tif,"[""602"", ""603""]",[],"[""FIGURE 602 ). CAUTION: CHEMICAL PAINT STRIPPERS WILL ATTACK RESIN SYSTEMS, AND SHOULD NOT BE USED TO REMOVE PAINT BEFORE MAKING DAMAGE ASSESSMENT. (1)\u2026"", ""FIGURE 603 ). (4) Make a chamfer in crack region in order to get a bit of fiber-glass layers (style 7781). C. Remove Damage and Repair Damaged Area. (\u2026""]",MEDIUM,True,True,False,False
image_ocr_figure_callout_00011,t_p_120_1176_p000485,485,00000485.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00012,t_p_120_1176_p000491,491,00000491.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00013,t_p_120_1176_p000493,493,00000493.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00014,t_p_120_1176_p000494,494,00000494.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00015,t_p_120_1176_p000497,497,00000497.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00016,t_p_120_1176_p000498,498,00000498.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00017,t_p_120_1176_p000499,499,00000499.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00018,t_p_120_1176_p000500,500,00000500.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00019,t_p_120_1176_p000503,503,00000503.tif,[],[],[],NONE,True,True,False,False
image_ocr_figure_callout_00020,t_p_120_1176_p000506,506,00000506.tif,"[""1""]",[],"[""FIGURE 1 of the Illustrated Parts List). (1) Position the Seat Backrest Lining (30) and press its Velcro fastener. (2) Attach the Snack Table Cover\u2026"", ""FIGURE 1 of the Illustrated Parts List). (1) Position the PVC section (160) and attach it by installing the screw (190), washer (170), and nut (180)\u2026"", ""FIGURE 1 of the Illustrated Parts List). (1) Position the front trim cover (240) and attach it by installing the screw (270). (2) Position the ashtr\u2026""]",MEDIUM,True,True,False,False
image_ocr_figure_callout_00021,t_p_120_1176_p000507,507,00000507.tif,[],[],[],NONE,True,True,False,False
