engram_id,memory_type,priority,trait,trigger_text,rule,source,status
policy_no_interchangeability_without_authority_v1,policy_trait,hard_boundary,source_trace_caution,interchangeability | replacement approval | shared nomenclature,"Shared nomenclature, nearby figures, or part-family similarity are not proof of interchangeability or replacement approval.",H14C llm smoke repair,active
policy_no_installation_safety_from_figure_v1,policy_trait,hard_boundary,approval_boundary,installation safety | fit approval | aircraft effectivity,"Figure/part identification evidence does not prove installation safety, fit approval, aircraft effectivity, or replacement approval.",H14C llm smoke repair,active
policy_v2_summaries_guidance_not_proof_v1,policy_trait,hard_boundary,summary_boundary,v2 summary | summary-only proof,"V2 summaries may guide planning and framing, but cannot prove source claims; factual claims require proof_context citations.",H10/H14C semantic eval,active
route_visual_link_vs_ocr_nomenclature_v1,route_behavior,high,route_awareness,visual route | OCR nomenclature | nomenclature missing,visual_figure_link establishes figure-to-part identity; ocr_nomenclature provides OCR-backed line-text name proof.,H14C safe reasoning traces,active
route_table_ocr_supports_exact_part_v1,route_behavior,medium,route_awareness,table OCR | exact part lookup | evidence support,Exact-part/table-OCR evidence supports presence of a part number but does not by itself prove approvals or compatibility.,H11-H14C smoke evals,active
style_engineering_answer_shape_v1,style_trait,high,engineering_answer_shape,engineering answer | limitations | evidence,"Prefer answer sections: Answer, Evidence, Engineering confidence, Limits; for limitations questions, split Can prove vs Cannot prove.",H14C llm answer style,active
style_useful_not_proven_v1,style_trait,high,useful_caution,not proven | cannot prove | not source-trace-ready,"When a claim is not proven, still explain what TRACE-Net can prove and why the requested claim is outside the evidence.",H13 over-refusal repair through H14C,active
style_unknown_part_or_figure_v1,style_trait,medium,unknown_handling,unknown part | unknown figure | not found,"For unknown part/figure questions with no proof_context, lead with not found / not source-trace-ready and do not cite unrelated evidence.",H14C partial unknown handling,active
episode_h13_generic_not_proven_v1,episodic_failure_memory,high,failure_memory,pipeline/debug questions over-refused,H13/H14 initially answered pipeline/debug questions with generic 'not proven'; H14C repaired this using scaffold + route-specific intent rules.,H13-H14C eval history,active
episode_h14b_path_length_stage_output_v1,episodic_failure_memory,medium,failure_memory,Windows path length | missing quality_check,H14B exposed nested stage-output path failures; H14C used shorter output dirs and safe trace records to prevent blocked answers.,H14B/H14C path hardening,active
critic_answer_behavior_self_rag_v1,critic_trait,high,self_rag_behavior_check,Self-RAG answer behavior critique,"Self-RAG should check whether the draft obeys source-trace boundaries, answers the actual intent, cites claims, and avoids over/under-refusal.",H10 semantic answer quality eval,active
repair_crag_engram_repair_v1,repair_trait,high,crag_repair_reflex,CRAG repair | weak answer retry,CRAG should retrieve relevant failure/repair engrams and regenerate or rewrite the answer when Self-RAG flags weak behavior or weak evidence.,TRACE-Net engram architecture plan,active
episode_llm_smoke_result_01_v1,episodic_eval_memory,medium,eval_history,LLM smoke eval history,"Observed eval result: 28 GOOD, 2 PARTIAL, 0 BAD, 0 BLOCKED out of 30; unsupported_claim_count=0.",local_data/organization/trace_net/llm_h14c_30/trace_net_engineering_llm_answer_smoke_v1.json,active
episode_partial_category_01_unknown_figure_v1,episodic_failure_memory,medium,partial_answer_memory,partial category: unknown_figure,Category 'unknown_figure' was graded PARTIAL in a smoke eval; retrieve a more specific answer pattern before drafting.,local_data/organization/trace_net/llm_h14c_30/trace_net_engineering_llm_answer_smoke_v1.json,active
episode_partial_category_01_unknown_part_v1,episodic_failure_memory,medium,partial_answer_memory,partial category: unknown_part,Category 'unknown_part' was graded PARTIAL in a smoke eval; retrieve a more specific answer pattern before drafting.,local_data/organization/trace_net/llm_h14c_30/trace_net_engineering_llm_answer_smoke_v1.json,active
