citation_label,evidence_kind,page_number,page_id,figure,callout,linked_part_number,linked_description,link_confidence,proof_strength,source_trace_ready,citation_ready,can_support_limited_visual_answer
V1,unlinked_visual_candidate,15,t_p_120_1176_p000015,1,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V2,unlinked_visual_candidate,15,t_p_120_1176_p000015,2,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V3,unlinked_visual_candidate,17,t_p_120_1176_p000017,1,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V4,unlinked_visual_candidate,18,t_p_120_1176_p000018,2,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V5,unlinked_visual_candidate,19,t_p_120_1176_p000019,3,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V6,linked_visual_evidence,315,t_p_120_1176_p000315,69,,120-50645-005,,MEDIUM,linked_visual_plus_figure_page_table_proof,True,True,True
V7,linked_visual_evidence,327,t_p_120_1176_p000327,75,,120-50645-011,,MEDIUM,linked_visual_plus_figure_page_table_proof,True,True,True
V8,linked_visual_evidence,382,t_p_120_1176_p000382,91,,120-29068-003,,MEDIUM,linked_visual_plus_figure_page_table_proof,True,True,True
V9,unlinked_visual_candidate,467,t_p_120_1176_p000467,1,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V10,unlinked_visual_candidate,468,t_p_120_1176_p000468,1,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V11,unlinked_visual_candidate,468,t_p_120_1176_p000468,01,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V12,unlinked_visual_candidate,477,t_p_120_1176_p000477,602,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V13,unlinked_visual_candidate,477,t_p_120_1176_p000477,603,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V14,unlinked_visual_candidate,485,t_p_120_1176_p000485,613,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V15,unlinked_visual_candidate,491,t_p_120_1176_p000491,601,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V16,unlinked_visual_candidate,493,t_p_120_1176_p000493,603,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V17,unlinked_visual_candidate,494,t_p_120_1176_p000494,604,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V18,unlinked_visual_candidate,497,t_p_120_1176_p000497,607,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V19,unlinked_visual_candidate,498,t_p_120_1176_p000498,608,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V20,unlinked_visual_candidate,499,t_p_120_1176_p000499,609,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V21,unlinked_visual_candidate,500,t_p_120_1176_p000500,610,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V22,unlinked_visual_candidate,503,t_p_120_1176_p000503,613,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V23,unlinked_visual_candidate,506,t_p_120_1176_p000506,1,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V24,unlinked_visual_candidate,507,t_p_120_1176_p000507,87,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V25,unlinked_visual_candidate,507,t_p_120_1176_p000507,107,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
V26,unlinked_visual_candidate,507,t_p_120_1176_p000507,84,,,,LOW,visual_or_ocr_observation_only_not_proof,False,False,False
