record_id,page_id,page_number,source_member,llava_mode,llava_summary_status,structured_json_ready,figure_candidate_count,callout_candidate_count,visible_text_candidate_count,visual_confidence,source_trace_ready,answer_permission,source_truth_mutation_allowed
llava_visual_summary_0001,t_p_120_1176_p000015,15,00000015.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0002,t_p_120_1176_p000017,17,00000017.tif,ollama,created,True,1,2,1,medium,True,False,False
llava_visual_summary_0003,t_p_120_1176_p000018,18,00000018.tif,ollama,created,True,1,2,2,medium,True,False,False
llava_visual_summary_0004,t_p_120_1176_p000019,19,00000019.tif,ollama,created,True,2,2,1,medium,True,False,False
llava_visual_summary_0005,t_p_120_1176_p000315,315,00000315.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0006,t_p_120_1176_p000327,327,00000327.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0007,t_p_120_1176_p000382,382,00000382.tif,ollama,created,True,1,1,1,medium,True,False,False
llava_visual_summary_0008,t_p_120_1176_p000467,467,00000467.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0009,t_p_120_1176_p000468,468,00000468.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0010,t_p_120_1176_p000477,477,00000477.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0011,t_p_120_1176_p000485,485,00000485.tif,ollama,failed,False,0,0,0,medium,True,False,False
llava_visual_summary_0012,t_p_120_1176_p000491,491,00000491.tif,ollama,created,True,1,0,1,medium,True,False,False
llava_visual_summary_0013,t_p_120_1176_p000493,493,00000493.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0014,t_p_120_1176_p000494,494,00000494.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0015,t_p_120_1176_p000497,497,00000497.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0016,t_p_120_1176_p000498,498,00000498.tif,ollama,created,True,1,1,2,medium,True,False,False
llava_visual_summary_0017,t_p_120_1176_p000499,499,00000499.tif,ollama,created,True,1,1,2,medium,True,False,False
llava_visual_summary_0018,t_p_120_1176_p000500,500,00000500.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0019,t_p_120_1176_p000503,503,00000503.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0020,t_p_120_1176_p000506,506,00000506.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
llava_visual_summary_0021,t_p_120_1176_p000507,507,00000507.tif,ollama,parse_failed,False,0,0,0,unknown,True,False,False
