question_id,category,question,grade,runner_passed,llm_answered,llm_mode,task_type,answer_citation_count,valid_answer_citation_count,source_trace_ready_citation_count,invalid_answer_citation_count,unsupported_claim_count,summary_used_as_proof_count,llm_error,llm_retry_used,llm_fallback_used,llm_fallback_reason,reasoning_trace_path,answer_preview,run_dir
q01,figure_lookup,What does figure 69 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q01_3cdcd0_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 6/69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for figure 69 on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16d_engram_30\r\q01_3cdcd0
q02,figure_lookup,What does figure 75 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q02_925499_trace.json,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for figure 75 on page 328 (OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16d_engram_30\r\q02_925499
q03,figure_lookup,What does figure 91 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q03_9a38c5_trace.json,"Answer:
Figure 91 is linked to part number 120-29068-003, ""STRUCTURE ASSY 00"" [V8] [O3].

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature provides ""STRUCTURE ASSY 00"" for figure 91 on page 384 (OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00...).
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h16d_engram_30\r\q03_9a38c5
q04,comparison,Compare figure 69 and figure 75.,GOOD,True,True,ollama,comparison_question,10,10,10,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q04_f61796_trace.json,"Answer:
Interchangeability, effectivity, fit, replacement approval, or installation safety between figure 69 and figure 75 is not proven. Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1]. Figure 75 is linked to part number 120-50645-011, which also carries the nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature for figure 69 is ""DOUBLE PASSENGER SEAT ASSY"" on page 316 (Line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50_645-005.
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature for figure 7",local_data\organization\trace_net\llm_h16d_engram_30\r\q04_f61796
q05,comparison,Compare figure 75 and figure 91.,GOOD,True,True,ollama,comparison_question,10,10,10,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q05_848709_trace.json,"Answer:
Figure 75 is associated with part number 120-50645-011, identified as ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2]. Figure 91 is associated with part number 120-29068-003, identified as ""STRUCTURE ASSY"" [V8] [O3].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature identifies figure 75 as ""DOUBLE PASSENGER SEAT ASSY"" on page 328 (Line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-011.
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature identifies figure 91 as ""STRUCTURE ASSY 00"" on page 384 (Line: 91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF).
- [T2] Ta",local_data\organization\trace_net\llm_h16d_engram_30\r\q05_848709
q06,exact_part_lookup,Find part number 120-50645-005 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,12,12,12,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q06_078c4d_trace.json,"Answer:
Part number 120-50645-005 is present in the source evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [T1] [V6].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-005.
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315 with nomenclature ""DOUBLE PASSENGER SEAT ASSY"".
- [O1] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-005 on page 316 (Line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready records ([E1], [V6], [O1], [T1]) confirm the identity and nomenclature.

Limits:
- This does not prove interchange",local_data\organization\trace_net\llm_h16d_engram_30\r\q06_078c4d
q07,exact_part_lookup,Find part number 120-50645-011 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,8,8,8,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q07_4bc389_trace.json,"Answer:
Part number 120-50645-011 is present in the source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O2] [T1] [V7].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-011 in field covered_part_number: 120-50645-011.
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" on page 328.
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivit",local_data\organization\trace_net\llm_h16d_engram_30\r\q07_4bc389
q08,exact_part_lookup,Find part number 120-29068-003 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,10,10,10,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q08_4a4518_trace.json,"Answer:
Part number 120-29068-003 is present in source-trace-ready evidence and is associated with the nomenclature ""STRUCTURE ASSY 00"" [O3] or ""STRUCTURE ASSY"" [V8].

Evidence:
- [E1] Exact-part evidence contains part number 120-29068-003 on page 31.
- [T1] Table/OCR proof supports part number 120-29068-003 on page 31.
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382 with nomenclature ""STRUCTURE ASSY"".
- [O3] OCR-backed nomenclature provides ""STRUCTURE ASSY 00"" for part number 120-29068-003 on page 384 (OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00...).

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records ([E1], [T1], [V8], [O3]) support the part number. Nomenclature confidence: HIGH.

Limits:
- This do",local_data\organization\trace_net\llm_h16d_engram_30\r\q08_4a4518
q09,evidence_support,What evidence supports part number 120-50645-005?,GOOD,True,True,ollama,exact_part_lookup,8,8,8,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q09_ca2ae5_trace.json,"Answer:
Part number 120-50645-005 is present in source-trace-ready evidence and is associated with the nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [T1] [V6].

Evidence:
- **Exact/Table Proof**: [E1] and [T1] provide direct confirmation of part number 120-50645-005 within the system's part records, establishing its presence in the database.
- **OCR/Table Proof**: [O1] provides text-based nomenclature (""DOUBLE PASSENGER SEAT ASSY"") by extracting the specific line ""69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF"" from page 316, which links the part number to its description.
- **Visual Proof**: [V6] provides a visual link between Figure 69 on page 315 and the part number/nomenclature, allowing for graphical identification of the component in the documentation.
",local_data\organization\trace_net\llm_h16d_engram_30\r\q09_ca2ae5
q10,evidence_support,What evidence supports Figure 69?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,False,False,,local_data\organization\trace_net\llm_h16d_engram_30\t\q10_1803e7_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- **Visual Proof**: [V6] provides visual evidence that establishes a direct link between figure 69 and part number 120-50645-005 on page 315.
- **OCR/Table Proof**: [O1] provides OCR-backed nomenclature that maps figure 69 to the specific part name via line text: ""69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF"" on page 316. [T1] provides table/OCR proof supporting the presence of part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are all source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safe",local_data\organization\trace_net\llm_h16d_engram_30\r\q10_1803e7
