page_number,page_id,review_priority,human_review_required,auto_seed_status,suggested_canonical_route,auto_seeded_gold_route_label,legacy_route,ocr_word_count,part_number_count,seed_reasons,ocr_sample_text,source_image_path,gold_route_label,review_status,review_notes
13,t_p_120_1176_p000013,medium,True,needs_human_review,table_or_index,,normal_text,84,0,table_or_index_medium_or_ambiguous,"< COMPONENT MAINTENANCE MANUAL
EMBRAER WITH ILLUSTRATED PARTS LIST
RECORD OF REVISIONS
No. ISSUED INSERTED No. ISSUED INSERTED

0s
0s
a ee
a ey
a ey
a
0s
0s
a a
a 0s
a ey
a
0s
0s
a ee
a ey
a ey
a
0s
0s
a ee
a ey
a
0s
0s
a ee
a ey
a se eo
RETAIN THIS RECORD IN FRONT OF MANUAL.

ON RECEIPT OF REVISION, INSERT REVISED PAGES IN THE MANUAL, AND ENTER NUMBER, DATE INSERTED
AND INITIALS.
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000013.tif,,needs_review,
14,t_p_120_1176_p000014,medium,True,needs_human_review,table_or_index,,normal_text,75,0,table_or_index_medium_or_ambiguous,"EMBRAER COMPONENT MAINTENANCE MANUAL
WITH ILLUSTRATED PARTS LIST

SERVICE BULLETIN RECORD

SERVICE OTHER DATE OF SERVICE OTHER DATE OF
BULLETIN DIRECTIVES INCORPORATION BULLETIN DIRECTIVES INCORPORATION
NUMBER INTO MANUAL NUMBER INTO MANUAL

NOTE: INFORMATION BULLETINS (IB) ARE NORMALLY ISSUED TO PROVIDE GENERAL INFORMATION.
HOWEVER, CERTAIN INFORMATION BULLETINS MAY CONTAIN ADDITIONAL PROCEDURAL OR
MODIFICATION INFORMATION WHICH MUST BE DISSEMINATED TO THE EQUIPMENT USERS.
THEREFORE, THESE INFORMATION BULLETINS ARE LISTED ALONG WITH THE SERVICE BULLETINS
UNDER “OTHER DIRECTIVES”.
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000014.tif,,needs_review,
15,t_p_120_1176_p000015,medium,True,needs_human_review,mixed_text_and_figure,,table,305,0,semantic_or_mixed_route_requires_human_review,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
DESCRIPTION AND OPERATION
1. General
The passenger seats are arranged into two rows in the aircraft, one comprising single seats and
another comprising double seats. In some configurations, the last row may also comprise triple
seats.
2. Description
A. The Single Passenger Seat (Figure 1) configurations listed below may be found on the ""EMB-
120"" Brasilia:
(1) First row single passenger seat with plug-in type snack table.
(2) Complete Single Passenger Seat with two armrests and snack folding table.
(3) Single Passenger Seat without armrest on the wall side (emergency exit position).
(4) Single Passenger Seat without snack folding table (last row).
(5) Single Passenger Seat with longer armrest, without snack folding table, to fit the triple pas-
senger seat row.
B. The Double Passenger Seat (Figure 2) may be found in the following configurations:
(1) First row Double Passenger Seat with plug-in type snack table.",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000015.tif,,needs_review,
16,t_p_120_1176_p000016,medium,True,needs_human_review,normal_text,,normal_text,223,0,semantic_or_mixed_route_requires_human_review,"€ emonnce

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

G. The backrest structure consists of a rigid composite structure attached to the seat structure and
molded foam cushion is glued to this structure, then covered with fitted upholstery, which, in turn,
is secured with Velcro fastener.

H. The seat bottom cushion is made of molded foam and is covered by the upholstery which is
secured with Velcro fastener.

J. The snack folding table is installed to the back face of the backrest. The snack folding table oper-
ation, when it is extended, is completely independent of the backrest.

K. The plug-in type snack table fits into the armrests.

L. The magazine holder is fitted in the back face of the seat.

M. In the bottom of the each seat place there is a life jacket stowage assembly.

3. Operation
A. Extension and stowage of the Snack Folding Table
(1) The snack folding table is secured in the stowed position by a latch located at the center of

the backrest, ",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000016.tif,,needs_review,
24,t_p_120_1176_p000024,medium,True,needs_human_review,table_or_index,,table,116,0,table_or_index_medium_or_ambiguous,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
VENDORS’ NAMES AND ADDRESSES
VENDOR NAMES AND ADDRESSES
CODE
E065846 AEROMOT INDUSTRIA MECANICO METALURGICA LTDA.
AV. DAS INDUSTRIAS, 1210
ANCHIETA
CEP 90000 PORTO ALEGRE - RS - BRASIL
E075221 COMERIT - COMPANHIA MERCANTIL E INDUSTRIAL ENGELBRECHT
AV. GONCALO MADEIRA, 220
JAGUARE
CEP 01000 - SAO PAULO - SP - BRASIL
TEL (055) (011) 268-9222
15653 KAYNAR - MICRODOT COMPANY
800 S. STATE COLLEGE BOULEVARD
92634 - FULLERTON - CALIFORNIA - USA
P.O. BOX 3001
TEL (001) (714) 871-1550
VS4956 EMBRAER - EMPRESA BRASILEIRA DE AERONAUTICA S.A
AV. BRIGADEIRO FARIA LIMA, 2170 - PUTIM
CEP 12137-901 SAO JOSE DOS CAMPOS - SP - BRASI
CAIXA POSTAL 343
TEL (055) (012) 345-1624 FAX (055) (012) 345-1598
EFFECTIVITY: ALL
25 21 00 Page 1005/1006
Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000024.tif,,needs_review,
26,t_p_120_1176_p000026,medium,True,needs_human_review,table_or_index,,normal_text,20,0,table_or_index_medium_or_ambiguous,"< EMBRAER

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

NUMERICAL INDEX

EFFECTIVITY: ALL 25-2 1 -00
Page 1007

T.P. 120/1176 Jan 15/01
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000026.tif,,needs_review,
27,t_p_120_1176_p000027,medium,True,needs_human_review,table_or_index,,table,303,0,table_or_index_medium_or_ambiguous,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ evsevine| vofiir [Rite | | cseounne| reir en
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
1002-C/6 1002-C/6
25-21-00-01 130 4 25-21-00-31 70 8
25-21-00-02 130 4 25-21-00-31A 70 8
25-21-00-02A} 130 4 25-21-00-32 70 8
25-2 1-00-03 120 4 25-21-00-33 80 8
25-2 1-00-04 140 4 25-21-00-34 70 8
25-21-00-05 120 4 25-21-00-35 70 8
i 25-21-00-05A} 130 4 25-21-00-36 70 8
25-2 1-00-06 130 4 25-21-00-37 70 8
25-21-00-07 130 4 25-21-00-38 80 8
25-2 1-00-08 120 4 25-21-00-39 70 8
| 25-21-00-08A |} 130 4 25-21-00-40 70 8
25-2 1-00-09 130 4 25-21-00-41 70 8
25-21-00-10 130 4 25-21-00-42 70 8
25-21-00-11 120 4 25-21-00-43 70 8
25-21-00-12 130 4 25-21-00-44 70 8
25-21-00-13 130 4 25-21-00-45 70 8
25-21-00-14 130 4 25-21-00-46 70 8
25-21-00-15 120 4 25-21-00-47 70 8
25-21-00-16 130 4 25-21-00-48 70 8
25-21-00-17 130 4 25-21-00-49 70 8
25-21-00-17 -195 2 25-21-00-50 70 8
25-21-00",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000027.tif,,needs_review,
28,t_p_120_1176_p000028,medium,True,needs_human_review,table_or_index,,table,305,0,table_or_index_medium_or_ambiguous,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ensevine raiser [Rite | seounne| iy [an
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
1002-C/6 1002-F
25-21-00-65 -186 4 25-21-00-17 140 4
25-2 1-00-66 70 8 25-21-00-17 -196 2
25-2 1-00-66 -156 4 25-21-00-18 140 4
25-21-00-76 70 12 25-21-00-18 -166 2
i 25-21-00-76A 70 12 25-21-00-19 140 4
25-21-00-77 80 12 25-21-00-19 -196 2
25-21-00-78 70 12 25-21-00-20 140 4
1002-F 25-21-00-20 -196 2
25-21-00-01 140 4 25-21-00-21 140 4
25-21-00-01 -195 2 25-21-00-21 -196 2
25-2 1-00-02 140 4 25-21 -00-22 140 4
25-2 1-00-02 -195 2 25-21-00-23 130 4
25-21-00-02A | 140 4 25-21-00-23 -185 2
25-21-00-02A | -205 2 25-21-00-24 130 4
25-21-00-03 130 4 25-21-00-25 140 4
25-2 1-00-04 150 4 25-21-00-25 -166 2
25-2 1-00-04 -205 4 25-21-00-26 130 4
25-21-00-05 130 4 25-21 -00-27 140 4
25-21-00-05A | 140 4 25-21-00-27 -196 2
25-21-00-05A | -195 2 25-21-00-28 130 4
25-2 1-00-06 140 4 25-21-",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000028.tif,,needs_review,
33,t_p_120_1176_p000033,medium,True,needs_human_review,table_or_index,,table,304,5,table_or_index_medium_or_ambiguous,"< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ evseovine| rofiir [Rite | | cseounne| reir fen
PER STOCK PER STOCK
CH-SEC-UN-FIG | ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-2907 4-001 120-29076-001 0
25-2 1-00-87 1 1 25-21-00-81 100 1
25-2 1-00-88 1 1 25-21-00-82 80 1
25-2 1-00-89 1 1 25-21-00-83 100 1
25-21-00-91 1 1 25-21-00-84 100 1
25-2 1-00-92 1 1 25-21-00-85 100 1
25-21-00-95 1 1 25-2 1-00-86 80 1
25-2 1-00-96 1 1 120-2907 7-001
25-2 1-00-97 1 1 25-21-00-87 110 1
25-2 1-00-98 1 1 25-21-00-91 110 1
25-21-00-101 1 1 25-21-00-95 140 1
25-21-00-102 1 1 120-2907 7-001
25-21-00-103 1 1 25-21-00-98 140 1
120-2907 4-011 25-21-00-101 110 1
25-2 1-00-92 -2 1 120-29083-001
120-29074-013 25-21-00-67 40 2
25-2 1-00-88 -2 1 25-2 1-00-68 40 2
25-2 1-00-90 1 1 25-21-00-69 40 2
25-2 1-00-93 1 1 25-21-00-70 40 2
25-2 1-00-94 1 1 25-21-00-71 40 2
25-21-00-95 1 1 25-21-00-72 40 2
25-2 1-00-98 1 1 25-21-00-73 40 2
25-2 1-00-99 1 1 25-21-00-74 40 2",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000033.tif,,needs_review,
34,t_p_120_1176_p000034,medium,True,needs_human_review,table_or_index,,table,70,2,table_or_index_medium_or_ambiguous,"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
[ewsesuina| magiy [undin | [ensesunne|vefiiy [iin
PER STOCK PER STOCK
CH-SEC-UN-FIG |} ITEM] ASSY NUMBER CH-SEC-UN-FIG | ITEM] ASSY NUMBER
120-29083-001
25-21-00-106 | 250 4
120-29093-001
25-21-00-79 150 1
25-2 1-00-80 160 1
25-21-00-81 160 1
25-2 1-00-82 140 1
25-21-00-83 160 1
25-2 1-00-84 160 1
25-21-00-85 160 1
25-2 1-00-86 140 1
EFFECTIVITY: ALL 2 5-2 1 -00
Page 1014A/B
T.P. 120/1176 Jul 30/02
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000034.tif,,needs_review,
