record_id,page_id,page_number,source_member,tiff_member,route_label,llava_status,source_trace_ready,ocr_text_available,figure_candidate_count,llava_output_target_path,answer_permission,source_truth_mutation_allowed,write_attempt_count
image_route_inventory_0001,t_p_120_1176_p000015,15,00000015.tif,00000015.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000015_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0002,t_p_120_1176_p000017,17,00000017.tif,00000017.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000017_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0003,t_p_120_1176_p000018,18,00000018.tif,00000018.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000018_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0004,t_p_120_1176_p000019,19,00000019.tif,00000019.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000019_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0005,t_p_120_1176_p000315,315,00000315.tif,00000315.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000315_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0006,t_p_120_1176_p000327,327,00000327.tif,00000327.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000327_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0007,t_p_120_1176_p000382,382,00000382.tif,00000382.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000382_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0008,t_p_120_1176_p000467,467,00000467.tif,00000467.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000467_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0009,t_p_120_1176_p000468,468,00000468.tif,00000468.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000468_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0010,t_p_120_1176_p000477,477,00000477.tif,00000477.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000477_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0011,t_p_120_1176_p000485,485,00000485.tif,00000485.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000485_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0012,t_p_120_1176_p000491,491,00000491.tif,00000491.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000491_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0013,t_p_120_1176_p000493,493,00000493.tif,00000493.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000493_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0014,t_p_120_1176_p000494,494,00000494.tif,00000494.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000494_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0015,t_p_120_1176_p000497,497,00000497.tif,00000497.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000497_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0016,t_p_120_1176_p000498,498,00000498.tif,00000498.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000498_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0017,t_p_120_1176_p000499,499,00000499.tif,00000499.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000499_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0018,t_p_120_1176_p000500,500,00000500.tif,00000500.tif,['image'],missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000500_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0019,t_p_120_1176_p000503,503,00000503.tif,00000503.tif,"['image',_'plain_text']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000503_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0020,t_p_120_1176_p000506,506,00000506.tif,00000506.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000506_llava_visual_summary_v1.json,False,False,0
image_route_inventory_0021,t_p_120_1176_p000507,507,00000507.tif,00000507.tif,"['plain_text',_'image']",missing,True,True,0,local_data/organization/trace_net/llava_visual_summaries_v1/t_p_120_1176_p000507_llava_visual_summary_v1.json,False,False,0
