page_number,page_id,source_operational_route,route_subtype,validated_operational_route,validation_decision,validation_status,validation_score,validator_contracts_executed,passed_validator_contracts,failed_validator_contracts,secondary_operational_routes,route_confidence_band,route_confidence_score,source_validator_required,source_multi_route_required,final_do_not_embed,qdrant_embedding_allowed,opensearch_index_allowed,ocr_text_word_count,part_number_count,validation_reasons,source_member,source_image_path,ocr_text_path
1,t_p_120_1176_p000001,plain_text,cover_or_title_page,plain_text,validated_primary_route,PASS,100.0,"[""plain_text_ocr_context_validator"", ""table_structure_and_part_evidence_validator""]","[""plain_text_ocr_context_validator""]","[""table_structure_and_part_evidence_validator""]","[""table""]",high,100.0,False,True,False,True,False,63,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",00000001.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000001.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000001.txt
2,t_p_120_1176_p000002,blank,blank_candidate,blank,validated_primary_route,PASS,100.0,"[""blank_candidate_confirmation_scan""]","[""blank_candidate_confirmation_scan""]",[],[],high,98.0,False,False,True,False,False,0,0,"[""blank_subtype"", ""empty_or_near_empty_ocr"", ""no_part_number_tokens""]",00000002.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000002.tif,
3,t_p_120_1176_p000003,table,detailed_parts_list,table,validated_primary_route,PASS,85.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,94.0,False,False,False,True,True,175,113,"[""table_subtype"", ""strong_part_number_density"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000003.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000003.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000003.txt
4,t_p_120_1176_p000004,plain_text,procedure_or_description,plain_text,validated_primary_route,PASS,100.0,"[""plain_text_ocr_context_validator""]","[""plain_text_ocr_context_validator""]",[],[],medium,82.0,True,False,False,True,False,128,0,"[""plain_text_subtype"", ""meaningful_ocr_text"", ""low_part_number_density"", ""no_strong_row_structure"", ""text_context_terms""]",00000004.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000004.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000004.txt
5,t_p_120_1176_p000005,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,90.0,False,False,False,True,True,397,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000005.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000005.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000005.txt
6,t_p_120_1176_p000006,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,90.0,False,False,False,True,True,417,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000006.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000006.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000006.txt
7,t_p_120_1176_p000007,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,90.0,False,False,False,True,True,374,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000007.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000007.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000007.txt
8,t_p_120_1176_p000008,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,90.0,False,False,False,True,True,368,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000008.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000008.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000008.txt
9,t_p_120_1176_p000009,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,90.0,False,False,False,True,True,373,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000009.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000009.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000009.txt
10,t_p_120_1176_p000010,table,table_or_index,table,validated_primary_route,PASS,75.0,"[""table_structure_and_part_evidence_validator""]","[""table_structure_and_part_evidence_validator""]",[],[],high,90.0,False,False,False,True,True,364,0,"[""table_subtype"", ""row_structure_signal"", ""table_or_ipl_terms"", ""ocr_text_present""]",00000010.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000010.tif,local_data\organization\trace_net\raw_to_answer_e2e_smoke_gemma4_native_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000010.txt
