page_id,page_number,source_member,source_image_sha256,source_operational_route,route_subtype,final_validated_operational_route,storage_decision,storage_reasons,postgres_graph_record,raw_tiff_reference_preserved,qdrant_embedding_allowed,opensearch_index_allowed,final_do_not_embed,validator_gated,invalid_operational_route,human_review_required,manual_review_required,answer_permission,can_answer_directly,can_prove_claims,source_truth_mutation_allowed,postgres_write_attempt,qdrant_write_attempt,opensearch_write_attempt,unsafe_record,source_retry_status,source_validation_decision,source_validation_score,source_validation_reasons,ocr_text_word_count,part_number_count
t_p_120_1176_p000002,2,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000012,12,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000014,14,,,plain_text,review_required,plain_text,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,0
t_p_120_1176_p000025,25,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000026,26,,,plain_text,review_required,plain_text,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,30.0,"['no_candidate_probe_met_threshold', 'low_part_number_density', 'low_table_term_density']",,0
t_p_120_1176_p000035,35,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000079,79,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000080,80,,,plain_text,review_required,plain_text,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,30.0,"['no_candidate_probe_met_threshold', 'low_part_number_density', 'low_table_term_density']",,0
t_p_120_1176_p000081,81,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000084,84,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000091,91,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000094,94,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000103,103,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000104,104,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000107,107,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000110,110,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000111,111,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000120,120,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000121,121,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000130,130,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000133,133,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000136,136,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000141,141,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000142,142,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000145,145,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000148,148,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000151,151,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000154,154,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000157,157,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000160,160,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000169,169,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000172,172,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000174,174,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000175,175,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000178,178,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000180,180,,,table,review_required,table,graph_only_validator_gated,['blocked_until_validator_or_retry_passes'],True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,55.0,"['no_candidate_probe_met_threshold', 'moderate_ocr_text', 'low_part_number_density', 'low_table_term_density']",,1
t_p_120_1176_p000187,187,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000195,195,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
t_p_120_1176_p000201,201,,,blank,blank_candidate,blank,graph_only_blank,['blank_pages_are_recorded_in_graph_but_not_embedded'],True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,not_needed_already_validated,already_validated,100.0,"['blank_subtype', 'empty_or_near_empty_ocr', 'no_part_number_tokens']",,0
