page_number,page_id,filename,manual_screen_category,notes
17,t_p_120_1176_p000017,00000017.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
18,t_p_120_1176_p000018,00000018.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
19,t_p_120_1176_p000019,00000019.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
81,t_p_120_1176_p000081,00000081.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
84,t_p_120_1176_p000084,00000084.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
87,t_p_120_1176_p000087,00000087.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
90,t_p_120_1176_p000090,00000090.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
94,t_p_120_1176_p000094,00000094.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
97,t_p_120_1176_p000097,00000097.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
100,t_p_120_1176_p000100,00000100.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
104,t_p_120_1176_p000104,00000104.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
107,t_p_120_1176_p000107,00000107.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
110,t_p_120_1176_p000110,00000110.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
114,t_p_120_1176_p000114,00000114.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
117,t_p_120_1176_p000117,00000117.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
120,t_p_120_1176_p000120,00000120.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
124,t_p_120_1176_p000124,00000124.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
127,t_p_120_1176_p000127,00000127.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
130,t_p_120_1176_p000130,00000130.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
133,t_p_120_1176_p000133,00000133.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
136,t_p_120_1176_p000136,00000136.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
139,t_p_120_1176_p000139,00000139.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
142,t_p_120_1176_p000142,00000142.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
145,t_p_120_1176_p000145,00000145.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
148,t_p_120_1176_p000148,00000148.tif,diagram_image_page,manual thumbnail screening: diagram/drawing/callout figure; excludes tables and mostly plain text
