page_number,page_id,source_member,source_image_path,source_image_sha256,legacy_route,suggested_canonical_route,suggested_route_confidence,suggested_route_reasons,gold_route_label,review_status,review_notes,ocr_word_count,ocr_char_count,part_number_count,part_number_sample,ocr_sample_text,raw_route_reasons,processor_contract,answer_permission,source_truth_mutation_allowed
1,t_p_120_1176_p000001,00000001.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000001.tif,09bfd29f1d493133d8c9b3760581d78d133c5f93a7a908027bee51f896a0bc0b,table,cover_or_title_page,high,"[""front_matter_page_number"", ""publication_identity_terms"", ""low_part_number_count""]",,needs_review,,63,510,0,[],"T.P. 120/1176

PASSENGER SEATS

COMPONENT MAINTENANCE MANUAL
WITH
ILLUSTRATED PARTS LIST

THIS PUBLICATION SUPERSEDES T.P. 120/1176
DATED 26 SEPTEMBER 1997

25-21-00
30 SEPTEMBER 1998

REVISION 4 - 10 APRIL 2006

& evmnace

EMPRESA BRASILEIRA DE AERONAUTICA S.A.
AV. BRIGADEIRO FARIA LIMA, 2.170 - CAIXA POSTAL 8050 - TELEFONE: (55) (12) 3927-7517
FAX: (55) (12) 3927-7546 - CEP 12.227-901 - SAO JOSE DOS CAMPOS - SAO PAULO - BRASIL
e-mail:distrib@embraer.com.br / http:/Avww.embraer.com
","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
2,t_p_120_1176_p000002,00000002.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000002.tif,3a666c702a56abe19cf7f54e6ad28c99db84c7483cfa11d3f6b79c5c01097cf8,blank_candidate,blank_candidate,high,"[""empty_or_near_empty_ocr""]",,auto_suggested_review_recommended,,0,0,0,[],,"[""empty_ocr_low_ink""]",blank_candidate_confirmation_scan,False,False
3,t_p_120_1176_p000003,00000003.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000003.tif,51d3021686c6905d48a8eceb5c9686eacf539855df3824ff79ac6039641e87e1,table,detailed_parts_list,high,"[""high_part_number_density"", ""detailed_parts_list_candidate""]",,needs_review,,175,2489,100,"[""120-36833-001"", ""120-36833-003"", ""120-36833-005"", ""120-36833-501"", ""120-36833-503"", ""120-36833-507"", ""120-36833-509"", ""120-36833-511"", ""120-36833-513"", ""120-36833-515"", ""120-36833-517"", ""120-36833-519"", ""120-36834-001"", ""120-36834-003"", ""120-36834-005"", ""120-36834-019"", ""120-36834-501"", ""120-36834-503"", ""120-36834-505"", ""120-36834-509""]","This publication covers the following part numbers:

120-36833-001
120-36833-503
120-36833-513
120-36834-001
120-36834-501
120-36834-511
120-36834-519
120-41824-001
120-41824-009
120-41824-261
120-41824-503
120-41825-001
120-41825-009
120-41825-505
120-41825-519
120-41826-261
120-42547-001
120-42547-501
120-42548-001
120-42548-009
120-42548-507
120-45850-005
120-45850-505
120-45851-005
120-45851-505
120-50645-003
120-50645-011
120-50645-019
120-50645-027
120-50645-039
120-50648-005
120-50648-019
120-50648-519
120-50648-549
120-61381-005
120-61382-005
120-61547-503
120-61548-507

€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

120-36833-003
120-36833-507
120-36833-515
120-36834-003
120-36834-503
120-36834-513
120-36834-523
120-41824-003
120-41824-217
120-41824-297
120-41824-505
120-41825-003
120-41825-017
120-41825-507
120-41825-521
120-41826-501
120-42547-003
120-42547-503
120-42548-003
120-42548-501
120-4254","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
4,t_p_120_1176_p000004,00000004.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000004.tif,6bd3dad9e70045c0343b5f88fe8e90686824bea32beb045299533ef3490f6a36,normal_text,procedure_or_description,high,"[""procedure_or_description_terms"", ""paragraph_text_present"", ""low_part_number_count""]",,needs_review,,128,925,0,[],"€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

INTRODUCTION

This manual presents all the operations carried out in a workshop after the disassembly of the passen-
ger seats of the EMB-120 ""BRASILIA"" aircraft. It allows a technician not acquainted with the equipment
to restore it to its operational conditions.

This manual contains the component description and operation, detailed instructions for disassembling,
checking, repairing and reassembling the component, and an illustrated parts list.

All the procedures described in this manual have been performed by the manufacturer prior to its release
to the users.

The methods presented herein, especially those concerning repairs, must not be modified or extended
to other cases without prior authorization granted by the aviation authorities and the manufacturer.

EFFECTIVITY: ALL 25-INTRODUCTION

Page 1/2
T.P. 120/1176 Sep 30/98
","[""normal_text_ocr_density""]",normal_text_ocr_summary_scan,False,False
5,t_p_120_1176_p000005,00000005.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000005.tif,8980a6e91d7cc2f40a8510315d8610595243d7033621c00bdaec782a41aa1e7b,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,397,2378,0,[],"-<€ EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
CHAPTER CHAPTER
SECTION SECTION
SUBJECT PAGE DATE SUBJECT PAGE DATE
25 - Title - Apr 10/06 25-21-00 607 Sep 30/98
25-LEP * 1 Apr 10/06 25-21-00 608 Sep 30/98
25-LEP * 2 Apr 10/06 25-21-00 609 Sep 30/98
25-LEP * 3 Apr 10/06 25-21-00 610 Sep 30/98
25-LEP * 4 Apr 10/06 25-21-00 611 Sep 30/98
25-LEP * 5 Apr 10/06 25-21-00 612 Sep 30/98
25-LEP * 6 Apr 10/06 25-21-00 613 Jan 15/01
25-LEP * 7 Apr 10/06 25-21-00 614 Jan 15/01
25- LEP * 8 blank Apr 10/06 25-21-00 615 Sep 30/98
25 - Contents 1 Sep 30/98 25-21-00 616 Sep 30/98
25 - Contents 2 blank Sep 30/98 25-21-00 617 Sep 30/98
25 - Applicability Jan 15/01 25-21-00 618 Sep 30/98
25 - Applicability ii blank Jan 15/01 25-21-00 619 Sep 30/98
25 - Introduction 1 Sep 30/98 25-21-00 620 Sep 30/98
25 - Introduction 2 blank Sep 30/98 25-21-00 621 Sep 30/98
25-21-00 1 Sep 30/98 25-21-00 622 Sep 30/98
25-21-00 2 Sep 30/98 25-21-00 623 Sep 30/98
25-21-00 3 Sep 30/98 25-21-0","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
6,t_p_120_1176_p000006,00000006.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000006.tif,89d209a21f5b7f948a73c3eb06600be189ff10b01b5e7194e14a8cd1621db284,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,417,2752,0,[],"€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

CHAPTER CHAPTER
SECTION SECTION
SUBJECT PAGE DATE SUBJECT PAGE DATE
25-Numerical Index 1012 Jan 15/01 25-Numerical Index 1048 Jan 15/01
25-Numerical Index 1013 Jul 15/02 25-Numerical Index 1049 Jan 15/01
25-Numerical Index 1014 Jul 15/02 25-Numerical Index 1050 Jan 15/01
25-Numerical Index 1014A Jul 30/02 25-Numerical Index 1051 Jan 15/01
25-Numerical Index 1014B blank Jul 15/02 25-Numerical Index 1052 Jan 15/01
25-Numerical Index 1015 Jan 15/01 25-Numerical Index 1052A Jan 15/01
25-Numerical Index 1016 Jan 15/01 25-Numerical Index 1052B Jan 15/01
25-Numerical Index 1017 Jan 15/01 25-Numerical Index 1052C Jan 15/01
25-Numerical Index 1018 Jan 15/01 25-Numerical Index 1052D Jan 15/01
25-Numerical Index 1019 Jan 15/01 25-Numerical Index 1052E Jan 15/01
25-Numerical Index 1020 Jan 15/01 25-Numerical Index 1052F blank Jan 15/01
25-Numerical Index 1021 Jan 15/01 25-IPL 1053 Sep 30/98
25-Numerical Index 1022 Jan 1","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
7,t_p_120_1176_p000007,00000007.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000007.tif,ed1f012f548803ab609c005b0e680acd92d6e1d47c3c16d2a9a662f541301651,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,374,2191,0,[],"€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

CHAPTER CHAPTER
SECTION SECTION
SUBJECT PAGE DATE SUBJECT PAGE DATE
25-IPL 1072 Jan 15/01 25-IPL 1103 Sep 30/98
25-IPL 1072A Jan 15/01 25-IPL 1104 Sep 30/98
25-IPL 1072B Jan 15/01 25-IPL 1105 Sep 30/98
25-IPL 1072C Jan 15/01 25-IPL 1106 Sep 30/98
25-IPL 1072D blank Jan 15/01 25-IPL 1107 Sep 30/98
25-IPL 1073 Sep 30/98 25-IPL 1108 Sep 30/98
25-IPL 1074 Sep 30/98 25-IPL 1109 Sep 30/98
25-IPL 1075 Sep 30/98 25-IPL 1110 Sep 30/98
25-IPL 1076 Jul 30/02 25-IPL 1111 Sep 30/98
25-IPL 1077 Jan 15/01 25-IPL 1112 Sep 30/98
25-IPL 1078 Jan 15/01 25-IPL 1113 Sep 30/98
25-IPL 1078A Jan 15/01 25-IPL 1114 Sep 30/98
25-IPL 1078B Jan 15/01 25-IPL 1115 Sep 30/98
25-IPL 1078C Jan 15/01 25-IPL 1116 Sep 30/98
25-IPL 1078D blank Jan 15/01 25-IPL 1117 Sep 30/98
25-IPL 1079 Sep 30/98 25-IPL 1118 Sep 30/98
25-IPL 1080 Sep 30/98 25-IPL 1119 Sep 30/98
25-IPL 1081 Sep 30/98 25-IPL 1120 Sep 30/98
25-IPL 1082 Sep 30/98 25-IPL 1121 S","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
8,t_p_120_1176_p000008,00000008.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000008.tif,7d6f154827ecc56956a2081437b142214acfa55ed525b8dae3a4b989fd42c741,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,368,2161,0,[],"€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

CHAPTER CHAPTER
SECTION SECTION
SUBJECT PAGE DATE SUBJECT PAGE DATE
25-IPL 1140B Jan 15/01 25-IPL 1164 Sep 30/98
25-IPL 1140C Jan 15/01 25-IPL 1165 Sep 30/98
25-IPL 1140D blank Jan 15/01 25-IPL 1166 Sep 30/98
25-IPL 1141 Sep 30/98 25-IPL 1167 Sep 30/98
25-IPL 1142 Sep 30/98 25-IPL 1168 Sep 30/98
25-IPL 1143 Jan 15/01 25-IPL 1169 Sep 30/98
25-IPL 1144 Jan 15/01 25-IPL 1170 Sep 30/98
25-IPL 1144A Jan 15/01 25-IPL 1171 Sep 30/98
25-IPL 1144B Jan 15/01 25-IPL 1172 Sep 30/98
25-IPL 1144C Jan 15/01 25-IPL 1173 Sep 30/98
25-IPL 1144D blank Jan 15/01 25-IPL 1174 Sep 30/98
25-IPL 1145 Sep 30/98 25-IPL 1175 Sep 30/98
25-IPL 1146 Sep 30/98 25-IPL 1176 Sep 30/98
25-IPL 1146A Jan 15/01 25-IPL 1177 Sep 30/98
25-IPL 1146B Jan 15/01 25-IPL 1178 Sep 30/98
25-IPL 1146C Jan 15/01 25-IPL 1179 Sep 30/98
25-IPL 1146D blank Jan 15/01 25-IPL 1180 Sep 30/98
25-IPL 1147 Sep 30/98 25-IPL 1181 Sep 30/98
25-IPL 1148 Sep 30/98 25-I","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
9,t_p_120_1176_p000009,00000009.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000009.tif,ad352d3c2ae487d629c26d00ec1ab79cdd10d77d689403213eba17499ea76573,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,373,2177,0,[],"€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

CHAPTER CHAPTER
SECTION SECTION
SUBJECT PAGE DATE SUBJECT PAGE DATE
25-IPL 1202 Sep 30/98 25-IPL 1241 Sep 30/98
25-IPL 1203 Jan 15/01 25-IPL 1242 Sep 30/98
25-IPL 1204 Jan 15/01 25-IPL 1243 Sep 30/98
25-IPL 1205 Jan 15/01 25-IPL 1244 Sep 30/98
25-IPL 1206 Jan 15/01 25-IPL 1245 Sep 30/98
25-IPL 1207 Sep 30/98 25-IPL 1246 Sep 30/98
25-IPL 1208 Sep 30/98 25-IPL 1247 Sep 30/98
25-IPL 1209 Sep 30/98 25-IPL 1248 Sep 30/98
25-IPL 1210 Sep 30/98 25-IPL 1249 Sep 30/98
25-IPL 1211 Sep 30/98 25-IPL 1250 Sep 30/98
25-IPL 1212 Sep 30/98 25-IPL 1251 Sep 30/98
25-IPL 1213 Sep 30/98 25-IPL 1252 Sep 30/98
25-IPL 1214 Sep 30/98 25-IPL 1253 Sep 30/98
25-IPL 1215 Sep 30/98 25-IPL 1254 Sep 30/98
25-IPL 1216 Sep 30/98 25-IPL 1255 Sep 30/98
25-IPL 1217 Sep 30/98 25-IPL 1256 Sep 30/98
25-IPL 1218 Sep 30/98 25-IPL 1257 Sep 30/98
25-IPL 1219 Sep 30/98 25-IPL 1258 Sep 30/98
25-IPL 1220 Sep 30/98 25-IPL 1259 Sep 30/98
25-IPL 122","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
10,t_p_120_1176_p000010,00000010.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000010.tif,dfa8786b909afd08c36c93a2714d582acee43290689d6277ff49a7d24f7fd955,table,table_or_index,high,"[""table_index_terms"", ""legacy_table_route""]",,needs_review,,364,2122,0,[],"€ emenncn

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

CHAPTER CHAPTER
SECTION SECTION
SUBJECT PAGE DATE SUBJECT PAGE DATE
25-IPL 1276 Jan 15/01 25-IPL 1314 Apr 10/06
25-IPL 1277 Sep 30/98 25-IPL 1315 Jul 15/02
25-IPL 1278 Sep 30/98 25-IPL 1316 Sep 30/98
25-IPL 1279 Sep 30/98 25-IPL 1317 Apr 10/06
25-IPL 1280 Apr 10/06 25-IPL 1318 Apr 10/06
25-IPL 1281 Apr 10/06 25-IPL 1319 Sep 30/98
25-IPL 1282 Sep 30/98 25-IPL 1320 Sep 30/98
25-IPL 1283 Apr 10/06 25-IPL 1321 Apr 10/06
25-IPL 1284 Apr 10/06 25-IPL 1322 Sep 30/98
25-IPL 1285 Jan 15/01 25-IPL 1323 Sep 30/98
25-IPL 1286 Apr 10/06 25-IPL 1324 Sep 30/98
25-IPL 1287 Apr 10/06 25-IPL 1325 Apr 10/06
25-IPL 1288 Sep 30/98 25-IPL 1326 Apr 10/06
25-IPL 1289 Apr 10/06 25-IPL 1327 Sep 30/98
25-IPL 1290 Apr 10/06 25-IPL 1328 Sep 30/98
25-IPL 1291 Sep 30/98 25-IPL 1329 Apr 10/06
25-IPL 1292 Apr 10/06 25-IPL 1330 Apr 10/06
25-IPL 1293 Apr 10/06 25-IPL 1331 Jul 15/02
25-IPL 1294 Sep 30/98 25-IPL 1332 Sep 30/98
25-IPL 129","[""table_or_parts_list_text_cues""]",table_ocr_table_candidate_scan,False,False
