question_id,category,question,grade,runner_passed,llm_answered,llm_mode,task_type,answer_citation_count,valid_answer_citation_count,source_trace_ready_citation_count,invalid_answer_citation_count,unsupported_claim_count,summary_used_as_proof_count,llm_error,answer_preview,run_dir
q01,figure_lookup,What does figure 69 show?,GOOD,True,True,runner_answer,visual_part_identification,5,5,5,0,0,0,,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q01_fig_3cdcd067
q02,figure_lookup,What does figure 75 show?,GOOD,True,True,runner_answer,visual_part_identification,5,5,5,0,0,0,,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 328.
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q02_fig_925499e1
q03,figure_lookup,What does figure 91 show?,GOOD,True,True,runner_answer,visual_part_identification,5,5,5,0,0,0,,"Answer:
Figure 91 is linked to part number 120-29068-003, ""STRUCTURE ASSY 00"" [V8] [O3].

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature gives ""STRUCTURE ASSY 00"" on page 384.
  OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q03_fig_9a38c5f9
q04,comparison,Compare figure 69 and figure 75.,GOOD,True,True,runner_answer,comparison_question,5,5,5,0,0,0,,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q04_compare_f61796ba
q05,comparison,Compare figure 75 and figure 91.,GOOD,True,True,runner_answer,comparison_question,5,5,5,0,0,0,,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 328.
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q05_compare_848709ae
q06,exact_part_lookup,Find part number 120-50645-005 and cite the source.,GOOD,True,True,runner_answer,exact_part_lookup,8,8,8,0,0,0,,"Answer:
Part number 120-50645-005 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [T1] [V6].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-005 in field covered_part_number: 120-50645-005.
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit,",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q06_part_078c4d4c
q07,exact_part_lookup,Find part number 120-50645-011 and cite the source.,GOOD,True,True,runner_answer,exact_part_lookup,8,8,8,0,0,0,,"Answer:
Part number 120-50645-011 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O2] [T1] [V7].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-011 in field covered_part_number: 120-50645-011.
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 328.
  OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit,",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q07_part_4bc3891c
q08,exact_part_lookup,Find part number 120-29068-003 and cite the source.,GOOD,True,True,runner_answer,exact_part_lookup,8,8,8,0,0,0,,"Answer:
Part number 120-29068-003 is present in source-trace-ready evidence and is associated with ""STRUCTURE ASSY 00"" [E1] [O3] [T1] [V8].

Evidence:
- [E1] Exact-part evidence contains part number 120-29068-003 in field ipl_part_number: 120-29068-003.
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature gives ""STRUCTURE ASSY 00"" on page 384.
  OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00... ccceennseeeees VS4956 A REF
- [T1] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, o",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q08_part_4a4518a8
q09,evidence_support,What evidence supports part number 120-50645-005?,GOOD,True,True,runner_answer,exact_part_lookup,8,8,8,0,0,0,,"Answer:
Part number 120-50645-005 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [T1] [V6].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-005 in field covered_part_number: 120-50645-005.
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit,",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q09_part_ca2ae526
q10,evidence_support,What evidence supports Figure 69?,GOOD,True,True,runner_answer,visual_part_identification,5,5,5,0,0,0,,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature gives ""DOUBLE PASSENGER SEAT ASSY"" on page 316.
  OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.
- V2 summaries, when present, are guidance only and are not used as proof in this answer.",local_data\organization\trace_net\engineering_llm_answer_smoke_v1_offline\runs\q10_fig_1803e70e
