page_number,page_id,review_priority,human_review_required,auto_seed_status,suggested_canonical_route,auto_seeded_gold_route_label,legacy_route,ocr_word_count,part_number_count,seed_reasons,ocr_sample_text,source_image_path,gold_route_label,review_status,review_notes
2,t_p_120_1176_p000002,low,False,auto_seeded,blank_candidate,blank_candidate,blank_candidate,0,0,blank_candidate_empty_or_near_empty_ocr,,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000002.tif,blank_candidate,auto_seeded_spot_check_optional,
111,t_p_120_1176_p000111,low,False,auto_seeded,blank_candidate,blank_candidate,blank_candidate,0,0,blank_candidate_empty_or_near_empty_ocr,,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000111.tif,blank_candidate,auto_seeded_spot_check_optional,
335,t_p_120_1176_p000335,low,False,auto_seeded,blank_candidate,blank_candidate,blank_candidate,0,0,blank_candidate_empty_or_near_empty_ocr,,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000335.tif,blank_candidate,auto_seeded_spot_check_optional,
1,t_p_120_1176_p000001,low,False,auto_seeded,cover_or_title_page,cover_or_title_page,table,63,0,high_confidence_publication_identity_page,"T.P. 120/1176

PASSENGER SEATS

COMPONENT MAINTENANCE MANUAL
WITH
ILLUSTRATED PARTS LIST

THIS PUBLICATION SUPERSEDES T.P. 120/1176
DATED 26 SEPTEMBER 1997

25-21-00
30 SEPTEMBER 1998

REVISION 4 - 10 APRIL 2006

& evmnace

EMPRESA BRASILEIRA DE AERONAUTICA S.A.
AV. BRIGADEIRO FARIA LIMA, 2.170 - CAIXA POSTAL 8050 - TELEFONE: (55) (12) 3927-7517
FAX: (55) (12) 3927-7546 - CEP 12.227-901 - SAO JOSE DOS CAMPOS - SAO PAULO - BRASIL
e-mail:distrib@embraer.com.br / http:/Avww.embraer.com
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000001.tif,cover_or_title_page,auto_seeded_spot_check_optional,
3,t_p_120_1176_p000003,low,False,auto_seeded,detailed_parts_list,detailed_parts_list,table,175,100,high_confidence_part_number_or_ipl_structure,"This publication covers the following part numbers:

120-36833-001
120-36833-503
120-36833-513
120-36834-001
120-36834-501
120-36834-511
120-36834-519
120-41824-001
120-41824-009
120-41824-261
120-41824-503
120-41825-001
120-41825-009
120-41825-505
120-41825-519
120-41826-261
120-42547-001
120-42547-501
120-42548-001
120-42548-009
120-42548-507
120-45850-005
120-45850-505
120-45851-005
120-45851-505
120-50645-003
120-50645-011
120-50645-019
120-50645-027
120-50645-039
120-50648-005
120-50648-019
120-50648-519
120-50648-549
120-61381-005
120-61382-005
120-61547-503
120-61548-507

€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

120-36833-003
120-36833-507
120-36833-515
120-36834-003
120-36834-503
120-36834-513
120-36834-523
120-41824-003
120-41824-217
120-41824-297
120-41824-505
120-41825-003
120-41825-017
120-41825-507
120-41825-521
120-41826-501
120-42547-003
120-42547-503
120-42548-003
120-42548-501
120-4254",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000003.tif,detailed_parts_list,auto_seeded_spot_check_optional,
250,t_p_120_1176_p000250,low,False,auto_seeded,detailed_parts_list,detailed_parts_list,table,228,12,high_confidence_part_number_or_ipl_structure,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
AIRLINE EFF | UNITS
FIG. ITEM PART NUMBER STOCK vase EODE. FROM PER
NUMBER TO ASSY
46 180 | 120-37313-001 . HOLDER, MAGAZINE ou... ee VS4956 2
ATTACHING PARTS
-185 | 1002-F . FASTENER BUTTON, MALE .........00000.000.. E075221 4
-186 | H14-04 NO V15653 4
-187 | AN960-3L ~ WASHER oo... c cece ceccecccccunccucececeusscuseeueeeeees 4
-188 | MS24693-C5 SCREW ooo cecccccccccccccccuccecccuccecccutceuceuseeneeanes 4
190 | 120-42660-001 . TABLE, SNACK FOLDING, ASSY
(SEE FIGURE 25-21-00-112) ...... VS4956 2
200 | 120-41208-001 . COVER, LATCH, SNACK TABLE ASS
(SEE FIGURE 25-21-00-112) 0.0... VS4956 | 071/118 2
-201 | 120-47462-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) oe. VS4956 | 119/315 2
-202 | 120-61610-001 . COVER, LATCH, SNACK TABLE ASSY
(SEE FIGURE 25-21-00-112) 0.0... VS4956 | 316/999 2
210 | AM03078-30 ASHTRAY. ooo. cccccccceccccccccenecusecuseussenseeuveneees E065846 2
220 | 120-40636-0",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000250.tif,detailed_parts_list,auto_seeded_spot_check_optional,
480,t_p_120_1176_p000480,low,False,auto_seeded,detailed_parts_list,detailed_parts_list,table,194,2,high_confidence_part_number_or_ipl_structure,"€& emenncr

MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST

7. Repair on Fixed Cover of Single Passenger Seat Laterals (figure 607)

A. Repair Materials.

NOMENCLATURE P/N
Epoxy Resin EPON 828

NOTE: Equivalent substitutes for the listed items may be used.
B. Repair Instruction.
(1) Repeat instructions described in items 5B, 5C, 5D, and 5E. See item 7 A for repair materials.
(2) Curing time: 24 hours at room temperature or 1 hour at 149°F (65°C).
(3) Restore painting using polyurethane FS 595-37038, as described in item 14.

8. Passenger Seat Leg Replacement

A. Single Passenger Seat Leg Replacement (figure 608).

(1) Repair Materials.

PART QTY MATERIAL

1 |LUGGAGE PROTECTOR 1 -
(P/N 120-34291-001)

2  |LATERAL LEG STRUCTURE 1 -
(P/N 120-29073-005)

3 | SECTION (P/N PE13076-1) 1
FASTENER (CR 3522-5) AR -
FASTENER (CR 3523-5) AR -
FASTENER (HL 22-5-23) AR -
ADHESIVE AWG 106 AR -

NOTE: Equivalent substitutes for the listed items may be used.
(2) R",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000480.tif,detailed_parts_list,auto_seeded_spot_check_optional,
17,t_p_120_1176_p000017,low,False,auto_seeded,image_visual_diagram,image_visual_diagram,image_visual,39,0,legacy_image_visual_high_confidence_sparse_text,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

ASHTRAY

SEAT

BACKREST

t

BSS

SEAT

BELT

ag

Ye

:

SL

Niiiine¢H

Testi

Lt

LY

S

FLOATABLE

SEAT BOTTOM

120TP250001.MCI

Single Passenger Seat

Figure 1

EFFECTIVITY: ALL

25-21-00

Page 3

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000017.tif,image_visual_diagram,auto_seeded_spot_check_optional,
327,t_p_120_1176_p000327,low,False,auto_seeded,image_visual_diagram,image_visual_diagram,image_visual,80,1,legacy_image_visual_high_confidence_sparse_text,"-< EMBRAER
MAINTENANCE MANUAL WITH
ILLUSTRATED PARTS LIST
1
YD
SF}
EE
(EC SF
DPF.
S,
yf FT)
iS)
20
10 67
70 —, 4 [|Z \
100 —— | >
a f ~_ /
jf 7 |
) | 100
90 re
NR SS ew J
“S10 Sy ff)
(B) SA a v/ ff
. s— RT Soa
/ vo Ne ~s
a / i i P
ee ere
~N a Z a
120TP250070.MCE
Double Passenger Seat (120-50645-011/021)
Figure 75
Sheet 1
EFFECTIVITY: ALL
25 21 00 Page 1268
T.P. 120/1176 Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000327.tif,image_visual_diagram,auto_seeded_spot_check_optional,
500,t_p_120_1176_p000500,low,False,auto_seeded,image_visual_diagram,image_visual_diagram,image_visual,56,0,legacy_image_visual_high_confidence_sparse_text,"-< EMBRAER

MAINTENANCE MANUAL WITH

ILLUSTRATED PARTS LIST

+ FASTENER CR3522-5-( )

€ FASTENER CR3523-5-( )

KG

eZ,

O view A

a,

»

LO

y

{yl

a VIEW B

a VIEW B

C+

s*/

) +

t+ +

[+

[+

+ +

\"" |

""I

/?

\

+ +|

+1

+ +146

¢

PS

(ome)

IN

VIEW B

VIEW A

120TP250013.MCE

Triple Passenger Seat Leg Replacement

Figure 610

EFFECTIVITY: ALL

25-21-00

Page 626

T.P. 120/1176

Sep 30/98
",local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000500.tif,image_visual_diagram,auto_seeded_spot_check_optional,
