page_id,page_number,source_operational_route,route_subtype,source_validation_decision,source_validation_status,source_final_do_not_embed,ocr_word_count,part_number_count,ocr_sample_text,answer_permission,can_answer_directly,can_prove_claims,source_truth_mutation_allowed,unsafe_record,human_review_required,manual_review_required,postgres_write_attempt,qdrant_write_attempt,opensearch_write_attempt,retry_attempted,retry_status,retry_validation_decision,final_validated_operational_route,final_validation_score,final_validation_reasons,final_do_not_embed,qdrant_embedding_allowed,opensearch_index_allowed,candidate_probe_results
t_p_120_1176_p000014,14,plain_text,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,75,0,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr"", ""no_part_numbers""], ""route"": ""image"", ""score"": 30.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""no_part_numbers"", ""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 30.0}]"
t_p_120_1176_p000026,26,plain_text,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,20,0,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,30.0,"[""no_candidate_probe_met_threshold"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 30.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr"", ""no_part_numbers""], ""route"": ""image"", ""score"": 30.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""no_part_numbers"", ""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 30.0}]"
t_p_120_1176_p000080,80,plain_text,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,21,0,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,30.0,"[""no_candidate_probe_met_threshold"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 30.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr"", ""no_part_numbers""], ""route"": ""image"", ""score"": 30.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""no_part_numbers"", ""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 30.0}]"
t_p_120_1176_p000081,81,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,75,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
t_p_120_1176_p000084,84,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,77,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
t_p_120_1176_p000094,94,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,72,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
t_p_120_1176_p000104,104,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,67,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
t_p_120_1176_p000107,107,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,68,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
t_p_120_1176_p000110,110,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,75,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
t_p_120_1176_p000120,120,table,review_required,validator_gated_unresolved,VALIDATOR_GATED_UNRESOLVED,True,76,1,,False,False,False,False,False,False,False,False,False,False,True,retry_unresolved_validator_gated,validator_gated_unresolved_after_retry,,55.0,"[""no_candidate_probe_met_threshold"", ""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""]",True,False,False,"[{""final_do_not_embed"": false, ""opensearch_index_allowed"": true, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [], ""route"": ""table"", ""score"": 0.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""moderate_ocr_text"", ""low_part_number_density"", ""low_table_term_density""], ""route"": ""plain_text"", ""score"": 55.0}, {""final_do_not_embed"": false, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": true, ""reasons"": [""sparse_ocr""], ""route"": ""image"", ""score"": 20.0}, {""final_do_not_embed"": true, ""opensearch_index_allowed"": false, ""passed"": false, ""qdrant_embedding_allowed"": false, ""reasons"": [""blank_subtype_or_empty_sample""], ""route"": ""blank"", ""score"": 15.0}]"
