answer_permission,blocked_from_retrieval_loaders,dry_run_only,final_do_not_embed,final_validated_operational_route,live_write_enabled,loader_targets,opensearch_index_allowed,page_id,page_number,postgres_graph_record,qdrant_embedding_allowed,raw_tiff_reference,record_index,source_image_sha256,source_member,source_truth_mutation_allowed,storage_decision,unsafe,validator_gated,write_attempted,route,source_image_path,ocr_text_path,lineage_repair_status,lineage_ready,missing_lineage_fields,evidence_policy,postgres_write_attempt,postgres_graph_plan_joined,embedding_scope,qdrant_write_attempt,qdrant_plan_joined,target_plan_join_status,target_plan_joined_targets,contract_statuses,missing_contract_fields_by_target,contract_ready_targets,postgres_contract_ready,qdrant_contract_ready,opensearch_contract_ready,live_write_allowed,loader_contract_blockers,loader_contract_status,exact_index_scope,opensearch_write_attempt,opensearch_plan_joined
False,False,True,False,plain_text,False,"[""postgres_graph"", ""qdrant""]",False,t_p_120_1176_p000001,1,True,True,00000001.tif,1,09bfd29f1d493133d8c9b3760581d78d133c5f93a7a908027bee51f896a0bc0b,00000001.tif,False,validated_graph_and_semantic_index,False,False,False,plain_text,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000001.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000001.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant""]","{""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant""]",True,True,False,False,[],ready_dry_run_only,,,
False,True,True,True,blank,False,"[""postgres_graph""]",False,t_p_120_1176_p000002,2,True,False,00000002.tif,2,3a666c702a56abe19cf7f54e6ad28c99db84c7483cfa11d3f6b79c5c01097cf8,00000002.tif,False,graph_only_blank,False,False,False,blank,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000002.tif,,repaired_from_ocr_scan_pack,True,[],graph_source_map_only,False,True,,,,joined_target_specific_dry_run_plans,"[""postgres_graph""]","{""postgres_graph"": ""ready""}","{""postgres_graph"": []}","[""postgres_graph""]",True,False,False,False,[],ready_dry_run_only,,,
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000003,3,True,True,00000003.tif,3,51d3021686c6905d48a8eceb5c9686eacf539855df3824ff79ac6039641e87e1,00000003.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000003.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000003.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
False,False,True,False,plain_text,False,"[""postgres_graph"", ""qdrant""]",False,t_p_120_1176_p000004,4,True,True,00000004.tif,4,6bd3dad9e70045c0343b5f88fe8e90686824bea32beb045299533ef3490f6a36,00000004.tif,False,validated_graph_and_semantic_index,False,False,False,plain_text,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000004.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000004.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant""]","{""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant""]",True,True,False,False,[],ready_dry_run_only,,,
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000005,5,True,True,00000005.tif,5,8980a6e91d7cc2f40a8510315d8610595243d7033621c00bdaec782a41aa1e7b,00000005.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000005.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000005.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000006,6,True,True,00000006.tif,6,89d209a21f5b7f948a73c3eb06600be189ff10b01b5e7194e14a8cd1621db284,00000006.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000006.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000006.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000007,7,True,True,00000007.tif,7,ed1f012f548803ab609c005b0e680acd92d6e1d47c3c16d2a9a662f541301651,00000007.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000007.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000007.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000008,8,True,True,00000008.tif,8,7d6f154827ecc56956a2081437b142214acfa55ed525b8dae3a4b989fd42c741,00000008.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000008.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000008.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000009,9,True,True,00000009.tif,9,ad352d3c2ae487d629c26d00ec1ab79cdd10d77d689403213eba17499ea76573,00000009.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000009.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000009.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
False,False,True,False,table,False,"[""postgres_graph"", ""qdrant"", ""opensearch""]",True,t_p_120_1176_p000010,10,True,True,00000010.tif,10,dfa8786b909afd08c36c93a2714d582acee43290689d6277ff49a7d24f7fd955,00000010.tif,False,validated_graph_semantic_and_exact_index,False,False,False,table,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000010.tif,local_data\organization\trace_net\raw_to_answer_context_engineered_native_gemma4_001\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000010.txt,repaired_from_ocr_scan_pack,True,[],graph_source_map_plus_validated_evidence_links,False,True,validated_page_or_evidence_summary,False,True,joined_target_specific_dry_run_plans,"[""postgres_graph"", ""qdrant"", ""opensearch""]","{""opensearch"": ""ready"", ""postgres_graph"": ""ready"", ""qdrant"": ""ready""}","{""opensearch"": [], ""postgres_graph"": [], ""qdrant"": []}","[""postgres_graph"", ""qdrant"", ""opensearch""]",True,True,True,False,[],ready_dry_run_only,validated_table_or_exact_evidence,False,True
