question_id,category,question,grade,runner_passed,llm_answered,llm_mode,task_type,answer_citation_count,valid_answer_citation_count,source_trace_ready_citation_count,invalid_answer_citation_count,unsupported_claim_count,summary_used_as_proof_count,llm_error,reasoning_trace_path,answer_preview,run_dir
q01,figure_lookup,What does figure 69 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q01_3cdcd0_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315.
- [O1] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for figure 69 on page 316 (OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h14c_30\r\q01_3cdcd0
q02,figure_lookup,What does figure 75 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q02_925499_trace.json,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR text on page 328 identifies ""75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY"".
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h14c_30\r\q02_925499
q03,figure_lookup,What does figure 91 show?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q03_9a38c5_trace.json,"Answer:
Figure 91 is linked to part number 120-29068-003, identified with the nomenclature ""STRUCTURE ASSY 00"" [V8] [O3].

Evidence:
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR text from page 384 provides the nomenclature ""STRUCTURE ASSY 00"" for figure 91 and part number 120-29068-003 (OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00...).
- [T1] Table/OCR proof supports the existence of part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and nomenclature claim because visual, OCR, and table/OCR proof are source-trace-ready.

Limits:
- This does not prove interchangeability, effectivity, fit, replacement approval, or installation safety.",local_data\organization\trace_net\llm_h14c_30\r\q03_9a38c5
q04,comparison,Compare figure 69 and figure 75.,GOOD,True,True,ollama,comparison_question,6,6,6,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q04_f61796_trace.json,"Answer:
Figure 69 and Figure 75 both share the nomenclature ""DOUBLE PASSENGER SEAT ASSY"" [V6, V7, O1, O2]. However, they are associated with different part numbers: Figure 69 is linked to part number 120-50645-005 [V6, O1, T1], while Figure 75 is linked to part number 120-50645-011 [V7, O2, T2].

Evidence:
- [V6] Visual evidence links figure 69 to part number 120-50645-005 and nomenclature ""DOUBLE PASSENGER SEAT ASSY"" on page 315.
- [V7] Visual evidence links figure 75 to part number 120-50645-011 and nomenclature ""DOUBLE PASSENGER SEAT ASSY"" on page 327.
- [O1] OCR line for figure 69 (page 316) identifies part number 120-50645-005 as ""DOUBLE PASSENGER SEAT ASSY"".
- [O2] OCR line for figure 75 (page 328) identifies part number 120-50645-011 as ""DOUBLE PASSENGER SEAT ASSY"".
- [T1] Table/OCR",local_data\organization\trace_net\llm_h14c_30\r\q04_f61796
q05,comparison,Compare figure 75 and figure 91.,GOOD,True,True,ollama,comparison_question,10,10,10,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q05_848709_trace.json,"Answer:
Figure 75 is linked to part number 120-50645-011, ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2]. 
Figure 91 is linked to part number 120-29068-003, ""STRUCTURE ASSY"" [V8] [O3].

Evidence:
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327.
- [O2] OCR-backed nomenclature for figure 75 is ""DOUBLE PASSENGER SEAT ASSY"" on page 328 (Line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY).
- [T1] Table/OCR proof supports part number 120-50645-011.
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382.
- [O3] OCR-backed nomenclature for figure 91 is ""STRUCTURE ASSY 00"" on page 384 (Line: 91 - | 120-29068-003 STRUCTURE ASSY 00).
- [T2] Table/OCR proof supports part number 120-29068-003.

Engineering confidence:
HIGH for the figure-to-part and n",local_data\organization\trace_net\llm_h14c_30\r\q05_848709
q06,exact_part_lookup,Find part number 120-50645-005 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,7,7,7,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q06_078c4d_trace.json,"Answer:
Part number 120-50645-005 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [V6].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-005.
- [V6] Visual evidence links figure 69 to part number 120-50645-005 on page 315, with the nomenclature ""DOUBLE PASSENGER SEAT ASSY"".
- [O1] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-005 on page 316 (OCR line: 69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-005.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records (visual, OCR, and exact-part evidence) support the part number and its nomenclature.

Li",local_data\organization\trace_net\llm_h14c_30\r\q06_078c4d
q07,exact_part_lookup,Find part number 120-50645-011 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,6,6,6,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q07_4bc389_trace.json,"Answer:
Part number 120-50645-011 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [V7] [O2].

Evidence:
- [E1] Exact-part evidence contains part number 120-50645-011.
- [V7] Visual evidence links figure 75 to part number 120-50645-011 on page 327 with the nomenclature ""DOUBLE PASSENGER SEAT ASSY"".
- [O2] OCR-backed nomenclature provides ""DOUBLE PASSENGER SEAT ASSY"" for part number 120-50645-011 on page 328 (OCR line: 75 - | 120-50645-011 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF).
- [T1] Table/OCR proof supports part number 120-50645-011.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support both the part number and its associated nomenclature.

Limits:
- This does not prove i",local_data\organization\trace_net\llm_h14c_30\r\q07_4bc389
q08,exact_part_lookup,Find part number 120-29068-003 and cite the source.,GOOD,True,True,ollama,exact_part_lookup,6,6,6,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q08_4a4518_trace.json,"Answer:
Part number 120-29068-003 is present in source-trace-ready evidence and is associated with ""STRUCTURE ASSY"" [V8] and ""STRUCTURE ASSY 00"" [O3].

Evidence:
- [E1] Exact-part evidence contains part number 120-29068-003 on page 31.
- [V8] Visual evidence links figure 91 to part number 120-29068-003 on page 382 with the nomenclature ""STRUCTURE ASSY"".
- [O3] OCR-backed nomenclature provides ""STRUCTURE ASSY 00"" for part number 120-29068-003 on page 384 (OCR line: 91 - | 120-29068-003 STRUCTURE ASSY 00...).
- [T1] Table/OCR proof supports part number 120-29068-003 on page 31.

Engineering confidence:
HIGH for the exact part lookup because multiple source-trace-ready proof records support the part number. Nomenclature confidence: HIGH.

Limits:
- This does not prove interchangeability, effe",local_data\organization\trace_net\llm_h14c_30\r\q08_4a4518
q09,evidence_support,What evidence supports part number 120-50645-005?,GOOD,True,True,ollama,exact_part_lookup,8,8,8,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q09_ca2ae5_trace.json,"Answer:
Part number 120-50645-005 is present in source-trace-ready evidence and is associated with ""DOUBLE PASSENGER SEAT ASSY"" [E1] [O1] [T1] [V6].

Evidence:
- **Exact Part Evidence**: [E1] contains the exact part number 120-50645-005, providing the fundamental database match for this identifier.
- **Visual Proof**: [V6] links Figure 69 on page 315 to part number 120-50645-005 and its nomenclature ""DOUBLE PASSENGER SEAT ASSY,"" which provides a graphical/diagrammatic reference for the component.
- **OCR/Table Proof**: [O1] provides OCR-backed nomenclature on page 316, specifically identifying line `69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF`, which confirms the text-based description of the part. [T1] provides additional support for the part number within stru",local_data\organization\trace_net\llm_h14c_30\r\q09_ca2ae5
q10,evidence_support,What evidence supports Figure 69?,GOOD,True,True,ollama,visual_part_identification,5,5,5,0,0,0,,local_data\organization\trace_net\llm_h14c_30\t\q10_1803e7_trace.json,"Answer:
Figure 69 is linked to part number 120-50645-005, ""DOUBLE PASSENGER SEAT ASSY"" [V6] [O1].

Evidence:
- **Visual evidence**: [V6] provides a direct visual link between figure 69 and part number 120-50645-005 on page 315, which is necessary for identifying the specific component depicted in the figure.
- **OCR/Nomenclature evidence**: [O1] provides OCR-backed nomenclature on page 316, where the line ""69 - | 120-50645-005 DOUBLE PASSENGER SEAT ASSY .......... VS4956 A REF"" explicitly maps figure 69 to its part name, confirming the identity of the item.
- **Table/OCR proof**: [T1] provides table-based OCR support for part number 120-50645-005, verifying the validity of the part number itself within the documentation.

Engineering confidence:
HIGH for the figure-to-part and nomenclature",local_data\organization\trace_net\llm_h14c_30\r\q10_1803e7
